stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,303.09,10278.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408.52,0,0,0,0,0,0,0,0
  5-6,153.24,1881.8,6.13,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,30.65,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,0,15.77,0,0,0,0,7.89,0,0,0,0,194.52,0,0,47.32,2.63,5.26,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,22.03,0,0,0,0,3.15,0,3.15,0,0,125.88,0,0,18.88,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,0,0,0,0,0,0,0,1,23,0,0,2,0,0,1,1,1,7,6,0,0
 24-34,0,0,0.82,0.82,4.1,0.82,0,1.64,0.82,0,0.82,0.82,2.46,0.82,15.6,0,0.82,0,0.82,0,0,16.42,0.82,4.1,6.57,0.82,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0.81,5.64,0,0,0,0,0,0,8.06,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,0.57,0,0,0,0,0,2.3,0,2.3,0,0,0,0,0,0,9.75,0,0,2.3,0,0
 60-70,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,13.74,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,0,0,0,0,0.98,0,2.94,0,0.98,0,0.98,0,0,13.74,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,1.06,0,0,0,0,0,0,15.93,0,0,1.06,0,2.12
 96-106,0,0,0,0,3.28,0,0,1.09,0,0,0,0,0,0,1.09,1.09,1.09,0,0,0,0,4.37,0,0,0,0,1.09
108-118,0,0,0,0,0.77,0,0,0.77,0,0,0,0.77,0.77,0,2.3,0,0,0,0,0,0,6.13,0.77,0,0,0,0
120,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
