stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,3,0,0,0,0,0
 24-34,0,0,1.64,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93,0,0,0.82,9.85,0,0,0,2.46,0,0,0,3.28,4.1,0,2.46,0,0
 36-46,0,0,0.81,0.81,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,6.45,0.81,0,0,4.03,0,0,0,6.45,0,0,0,0,0.81,0,1.61,0,0
 48-58,0,0,0,0,1.15,0.57,0,0,1.72,0,0,0,0,0,0,0.57,0.57,0,2.3,0,0,2.3,1.15,0.57,0,0,1.72,0,0,0,0,1.15,0,0.57,0,1.15
 60-70,0,0,1.96,0.98,0,0,0.98,0.98,3.93,0,0,0,0,0,0,0,0,0,4.91,0,0,0,0.98,0,0,0,3.93,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,1.96,1.96,2.94,0,0,0,17.67,0,0,0,0,0.98,1.96,1.96,0,0,20.61,0,0,1.96,4.91,0,0,0.98,2.94,0,0,0,0,2.94,0,0,0.98,0.98
 84-94,0,0,5.31,5.31,4.25,0,2.12,1.06,16.99,1.06,2.12,0,0,1.06,3.19,0,0,0,22.3,2.12,1.06,0,2.12,0,0,2.12,22.3,0,0,0,0,1.06,0,2.12,0,4.25
 96-106,0,0,5.46,3.28,8.74,1.09,0,3.28,19.67,0,0,0,2.19,1.09,5.46,0,2.19,0,31.69,3.28,2.19,2.19,4.37,0,0,3.28,10.93,0,0,0,0,0,0,1.09,1.09,1.09
108-118,0,0,10.72,5.36,5.36,0.77,1.53,3.06,23.74,2.3,0,0.77,3.83,1.53,13.02,3.06,0.77,3.06,65.11,3.06,1.53,4.6,6.13,2.3,0.77,2.3,25.28,0,0.77,1.53,0,2.3,0.77,1.53,0.77,9.96
120,0,0,13.72,1.96,0,0,1.96,0,11.76,0,0,3.92,1.96,1.96,3.92,3.92,0,0,47.03,3.92,0,1.96,7.84,1.96,0,0,31.36,0,0,1.96,0,3.92,1.96,7.84,1.96,0
