stage,axial,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,mesenchyme,mural.cell,muscle,neural,otic,periderm,spinal.cord,taste,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0.82,0,0.82,3.28,0,0,1.64,0,0,0
 36-46,0,0,0,2.42,0,0,0,0,0,0,0,0,0,4.83,0,0,0.81,0,0,0
 48-58,0,0,0,2.3,0,0,0,1.15,0,0,2.3,0,0.57,4.02,0,0,0,0,0,0
 60-70,0,0,0,1.96,0,0,0,0.98,0,0,0,0.98,0,19.63,0,0,1.96,0,0,0
 72-82,0,0,0.98,4.91,0,0.98,0.98,1.96,0,0,2.94,0,0,15.71,0,0,3.93,0,0,0
 84-94,0,1.06,0,1.06,0,0,0,1.06,0,1.06,1.06,0,1.06,9.56,0,1.06,2.12,0,0,1.06
 96-106,0,1.09,0,3.28,0,0,0,0,0,1.09,0,1.09,0,2.19,1.09,0,0,0,0,0
108-118,0,0,0,2.3,0,0,0,0.77,0,0,0,0,0.77,9.19,0.77,0,2.3,0.77,0.77,0
120,1.96,1.96,0,0,1.96,0,0,0,1.96,0,1.96,0,0,9.8,0,1.96,0,0,0,0
