stage,blastomeres,endoderm,eye,heart,mesenchyme,muscle,neural,notochord,otic,periderm,spinal.cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,3.15,0,0,0,0
 24-34,0,0,0,0,1.64,0.82,1.64,0,0,0,0.82,0
 36-46,0,0,0,0,2.42,0,1.61,0,0,0,0,0
 48-58,0,0,0,0,1.72,0,3.44,0,0,0,0,0
 60-70,0,0,2.94,0,0.98,0.98,3.93,0,0,0.98,0,0
 72-82,0,0,0,0,7.85,0,0,0,0,0,0.98,0
 84-94,0,0,1.06,0,2.12,1.06,0,0,1.06,0,0,1.06
 96-106,0,0,1.09,0,1.09,2.19,2.19,0,0,0,0,0
108-118,0,0,0.77,0.77,2.3,0.77,0.77,0.77,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0
