stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,lateral.line,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord
  3-4,13.18,461.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0
  5-6,36.78,723.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,13.14,21.03,13.14,0,0,36.8,0,0,10.51,0,0,0,0,325.96,2.63,0,105.15,0,0,0,0
 10-12,0,9.44,12.59,0,0,15.73,0,0,0,0,0,0,0,213.99,0,0,72.38,0,6.29,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0.82,0,0,0,0.82,0,0,0,4.1,0,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,2.42,0,0.81,0,0,0,0,0.81
 48-58,0,0,0,0.57,0,0.57,0,0,0,0,0,0,0,1.15,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0.98,0,0,0,0,0,1.96,0,0,0,0,0,0,0
 84-94,0,0,0,2.12,0,0,0,0,0,0,0,0,0,1.06,0,0,0,3.19,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.09,0,0,1.09,0,0,0,1.09,0,0,0
108-118,0,0,0,0,0.77,0.77,0,0.77,0,0,0,0,0,1.53,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
