stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,6,0,0,2,15,0,1,0,1,0,3,12,0,0,0,0,0
 24-34,0,0,0,0,0,3.28,0,0,0,0,0,0.82,0,0,0,0.82,0,0,0,62.39,0,3.28,0,0,0.82,0,21.34,0,0,0,0,0
 36-46,0,0,0,0,0,5.64,0,0,0.81,0.81,0,0,0,0,0,0.81,0,0.81,0,124.07,0,0,0,0,0,0,16.92,0,0,0,0,0
 48-58,0,0,1.15,0,0,13.2,0,0,0,2.87,0,0,0,0,0,1.15,0,0.57,0,166.98,0,1.15,0,0,0.57,0,15.49,0,0,0,0,0
 60-70,0,0,0,0,0,29.45,0,0,0.98,0.98,0,0,0,0,0,4.91,0,0.98,0,278.75,0,1.96,0,0,0,0,20.61,0,0.98,0.98,0,0
 72-82,0,0,0.98,0.98,0,60.86,0,0,0,9.82,0,0,0,0,0,10.8,0,0.98,0,393.65,0,1.96,0,0,0.98,0,19.63,0,0.98,0.98,2.94,1.96
 84-94,0,0,2.12,0,0,48.85,0,1.06,0,10.62,0,0,1.06,0,0,7.43,0,2.12,0,215.59,0,1.06,2.12,0,1.06,0,6.37,0,2.12,2.12,5.31,1.06
 96-106,0,0,2.19,0,1.09,34.97,0,1.09,0,5.46,1.09,0,0,0,0,5.46,0,1.09,0,205.46,0,1.09,0,0,2.19,0,8.74,0,2.19,1.09,9.84,0
108-118,0,0,3.06,0.77,0,42.13,0,0,0.77,8.43,0,0,0,0,0,6.89,0.77,0,0.77,252,0,1.53,2.3,0,0.77,0,2.3,0,2.3,0.77,4.6,0
120,0,0,3.92,1.96,0,35.28,1.96,0,0,7.84,0,0,0,1.96,1.96,7.84,0,1.96,5.88,256.73,1.96,0,0,0,1.96,0,13.72,1.96,0,0,3.92,0
