stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,23.66,0,0,0,2.63,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,36.8,5.26,0,0,15.77,0,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,34.62,0,0,0,3.15,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,69.23,0,0,0,28.32,0,0,3.15,0,6.29,0,9.44,0,0,0,0,0
 14-21,0,0,0,2,0,0,1,0,0,0,14,1,2,0,0,0,0,0,0,0,3,0,0,1,32,0,1,4,0,0,0,0,4,12,0,13,52,0,0,0,0
 24-34,0,0,0.82,2.46,0,0,1.64,0,0,0,18.88,0,0,0.82,0,0,0,1.64,0,0,4.93,0,0,2.46,74.7,0.82,13.13,1.64,0,0,0.82,0,0,8.21,0,2.46,55,0,0.82,0,0
 36-46,0,0,0,0,0,0,8.86,0,0.81,0,12.89,0,0,0.81,0,0,0,0.81,0.81,0,5.64,0,0,4.03,137.77,0,24.17,2.42,0,0,1.61,0,0,4.03,0,0,37.06,0,1.61,0,0
 48-58,0,0,0,0.57,0,0,14.92,0,0,0,12.05,0,0,0.57,0,0,0,0,0.57,0,2.3,0,0,1.72,125.66,0.57,16.07,1.15,0.57,0,1.72,0,0,2.3,0,0,37.87,0,0,0,0.57
 60-70,0,0,0,0.98,0.98,0,46.13,0,0.98,0,28.46,0,0,0.98,0.98,0,0,3.93,0,0,17.67,0,0,0,155.08,0,19.63,3.93,0,0.98,1.96,0,0,0,0,0,44.17,0,2.94,0,0
 72-82,0,0,0,0.98,2.94,0,49.08,0,0,0.98,37.3,0,0,0.98,0,0,0,5.89,0,0,21.6,0,1.96,2.94,152.16,0,39.27,3.93,0,0,7.85,0,0,0,0,0,19.63,0.98,1.96,0,0
 84-94,0,0,0,6.37,1.06,0,28.68,0,0,2.12,33.99,2.12,0,0,0,0,1.06,8.5,0,1.06,20.18,1.06,1.06,2.12,78.59,0,26.55,13.81,0,0,8.5,0,0,1.06,0,0,8.5,0,1.06,0,0
 96-106,0,0,1.09,6.56,0,0,28.41,0,1.09,0,24.04,1.09,0,3.28,2.19,0,0,13.11,1.09,0,20.76,0,1.09,0,88.52,0,52.46,16.39,0,0,5.46,0,0,1.09,0,0,17.49,1.09,0,1.09,4.37
108-118,0,0,0,6.13,0.77,0,33.7,0.77,1.53,0,17.62,0.77,0,0,2.3,0,0,6.13,0,0,16.85,0,0.77,1.53,103.41,0,29.11,5.36,0,0.77,6.13,0,0,4.6,0.77,0,6.89,0.77,4.6,0,2.3
120,0,0,0,15.68,3.92,1.96,23.52,1.96,5.88,0,27.44,13.72,0,0,1.96,1.96,1.96,7.84,0,0,48.99,0,1.96,3.92,90.15,1.96,17.64,9.8,0,0,19.6,0,0,1.96,0,0,11.76,0,5.88,1.96,0
