stage,axial,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,5.26,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,8,1,1,0,0,0,0,0,0,0,0,0,2,0,0,2,22,1,0,0,0,2,5,0,0,0,0
 24-34,0,0.82,6.57,0,2.46,0,0,0.82,0,0,0,0,0,1.64,4.1,0,0,3.28,34.48,0.82,0,0,0,0.82,8.21,0,0,0,0.82
 36-46,0,0,3.22,0,1.61,0,0.81,2.42,0,0,0,0,0,0,4.83,0,0,1.61,29,0,0,0,0,0,5.64,0,0,0,0
 48-58,0,0,2.87,0,2.87,1.72,1.15,1.15,0,0,0,0,0.57,0,3.44,0,0.57,1.15,9.75,0.57,0,0,0,0,3.44,0,0,0,0
 60-70,0,0,4.91,0,0.98,1.96,0,0.98,0,0,0.98,0,0,0.98,4.91,0.98,0,0,7.85,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,9.82,0,0,1.96,2.94,0,0,0,0,0,0,0.98,0.98,0.98,0
 84-94,0,0,6.37,0,1.06,0,0,2.12,0,0,0,1.06,0,0,6.37,0,0,0,4.25,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,4.37,0,2.19,3.28,0,1.09,0,0,0,0,0,0,9.84,0,1.09,0,1.09,0,0,0,0,0,1.09,0,0,0,0
108-118,0,0,9.19,0,2.3,2.3,0.77,2.3,0,0,0,0,0.77,0,3.83,0,0,1.53,3.06,0,0,0,0,0,0,0,0.77,0,0
120,0,0,9.8,0,0,0,0,7.84,3.92,0,0,0,0,0,1.96,0,0,0,3.92,0,1.96,1.96,0,0,0,0,0,0,0
