stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,otic,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,9,0,0,0,0,0,1,0,4,0,0,0,0
 24-34,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8,0,0.82,0,1.64,0,24.63,0,0.82,0,0,0,0
 36-46,0,0,1.61,0,0,0,0,0,0,0,0,1.61,0,0,0,2.42,0.81,0,30.62,0,0,0,0.81,0,34.64,0,2.42,0,0,0,0
 48-58,0,0,0.57,0,0,0,0,2.87,0,0,2.3,3.44,0,0,0,8.61,0.57,0,32.71,0,0.57,0,0.57,0,22.38,0,5.74,0,0,0,0
 60-70,0,0,0,0,0,0,0,4.91,0,0,1.96,22.58,0,0,0,20.61,0.98,0,23.56,0,0,0,0,0,22.58,0.98,0,0,0,0,0
 72-82,0,0,10.8,0,0.98,0,2.94,6.87,0,0,1.96,52.03,0,0,0,90.31,4.91,0,38.28,0,0,1.96,1.96,0,50.06,0,0,0,0,0.98,0.98
 84-94,0,0,7.43,1.06,1.06,0,7.43,12.74,0,0,0,105.14,0,0,0,323.92,2.12,2.12,22.3,0,1.06,0,11.68,0,106.2,1.06,1.06,0,1.06,0,1.06
 96-106,0,0,14.21,1.09,2.19,1.09,5.46,10.93,2.19,0,4.37,99.45,0,0,0,371.57,6.56,1.09,54.64,0,1.09,0,4.37,1.09,121.31,0,0,0,1.09,1.09,0
108-118,0,0,10.72,2.3,3.83,0.77,8.43,9.96,1.53,0,2.3,51.32,1.53,0.77,0.77,644.17,3.06,1.53,42.13,0.77,0,0,5.36,0,87.32,0,0,0.77,0.77,0,0.77
120,0,0,7.84,0,1.96,0,1.96,0,0,1.96,1.96,50.95,0,0,0,311.61,5.88,0,25.48,0,1.96,0,7.84,0,47.03,0,0,0,0,0,0
