stage,epidermis,eye,glial,ionocyte,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,somites,spinal_cord
 14-21,1,0,0,0,0,0,1,0,1,0,1,0
 24-34,0,0.82,0,0,0,0,1.64,0,0,0,0,0.82
 36-46,1.61,0,0,0,0,0.81,2.42,0,0,0.81,0,0.81
 48-58,0,1.15,0,0,0,0,3.44,0,0,0,0,0
 60-70,0,1.96,0,0,0,1.96,1.96,0,0,0,0,2.94
 72-82,0,0.98,0,0,1.96,0,0.98,0.98,0,0,0,0
 84-94,0,2.12,0,2.12,0,0,0,0,0,0,0,0
 96-106,1.09,0,0,0,2.19,0,0,0,0,0,0,0
108-118,1.53,1.53,0,0.77,0,0,2.3,0,0,0,0,0
120,0,1.96,1.96,0,0,0,1.96,0,0,0,0,0
