stage,axial,blastomeres,endoderm,eye,glial,hatching_gland,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites
  3-4,39.53,461.23,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,484.24,0,0,0,6.13,0,0,0,0,6.13,12.26,0,0,0
  7-9,10.51,13.14,15.77,15.77,0,7.89,0,257.61,10.51,0,60.46,0,2.63,0,0
 10-12,0,3.15,15.73,12.59,0,6.29,0,147.91,6.29,0,40.91,0,0,0,0
 14-21,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1
 24-34,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,1.61,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0
