stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,lateral.line,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial.mesoderm,pgc,pronephros,spinal.cord,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,9.44,3.15,0,3.15,0
 14-21,0,0,0,0,0,23,0,0,0,0,13,0,0,2,2,0,11,39,0
 24-34,0,0,0,0,0,13.95,0,0,0.82,0,3.28,0,1.64,1.64,0,0,2.46,28.73,0
 36-46,0,0,0,0,0,5.64,0,0,0,0,5.64,0,3.22,0,0,0,3.22,12.09,0
 48-58,0,0,0,0,0.57,2.3,0,0,0,0,4.02,0,3.44,0,0,0,0,10.33,0.57
 60-70,0,0,0,0,0,11.78,0.98,0.98,0,0.98,7.85,0,2.94,0.98,0,0,0,7.85,0
 72-82,0,0,0,0,0.98,4.91,0,0,0,0,4.91,0,3.93,2.94,0,0,0.98,3.93,0
 84-94,0,0,0,0,0,4.25,0,2.12,0,0,7.43,0,5.31,1.06,0,0,3.19,7.43,0
 96-106,0,0,0,1.09,2.19,10.93,0,4.37,0,0,10.93,0,10.93,1.09,0,0,1.09,4.37,0
108-118,0,0,0,0,1.53,13.79,0,1.53,0,0,8.43,0,5.36,2.3,0,0,0.77,4.6,0
120,0,0,1.96,0,1.96,0,0,0,1.96,0,7.84,0,1.96,1.96,0,0,1.96,1.96,0
