stage,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,immune,mesenchyme,neural,olfactory,periderm,presomitic.mesoderm,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,39,0,6,1,1,0,0,0
 24-34,2.46,0,0,0,0,0.82,0,0,28.73,0.82,4.93,0,9.03,0,0,0
 36-46,0,0.81,1.61,0,0.81,0,0,1.61,21.75,0,7.25,0.81,4.83,0,0,0
 48-58,0.57,3.44,0.57,0,0,2.87,0,1.72,25.25,0,4.59,0,1.15,0,0,0
 60-70,0.98,8.83,3.93,0,0,1.96,0,0,22.58,0,5.89,0,0,0,0,0
 72-82,0,12.76,6.87,0,0.98,0.98,0,0,45.16,0,2.94,0,0.98,0,0,0
 84-94,0,11.68,1.06,0,0,1.06,1.06,1.06,29.74,1.06,11.68,0,0,1.06,1.06,1.06
 96-106,0,10.93,3.28,1.09,0,2.19,0,0,34.97,0,5.46,0,0,0,0,0
108-118,0.77,4.6,0.77,0,0,2.3,0.77,0,49.02,0,3.06,0,0,0,0,0
120,0,3.92,5.88,0,0,3.92,0,3.92,31.36,0,0,0,0,0,1.96,0
