stage,eye,glial,mesenchyme,mural_cell,muscle,neural,olfactory,otic,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,4.1,0,0,0.82,0,0
 36-46,0,0,0,0,0,3.22,0.81,0,1.61,0,0
 48-58,1.72,0.57,0,0,0,14.35,0,0,2.87,0,0
 60-70,3.93,0,0,0,0,11.78,0,0,1.96,0,0.98
 72-82,0.98,0,0,0,0,11.78,0,0,4.91,0,0
 84-94,4.25,1.06,3.19,0,0,9.56,1.06,0,1.06,1.06,0
 96-106,1.09,3.28,0,1.09,0,3.28,0,0,0,0,0
108-118,4.6,0.77,3.06,0,0,9.96,0,0.77,0,0,0
120,3.92,0,0,0,1.96,5.88,0,0,0,0,0
