stage,epidermis,eye,fin.epithelia,glial,gut,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,periderm,pronephros,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0
 24-34,0.82,0,0,0,0,0,0,0.82,0,0,4.1,0,0,0,0,0,0.82
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0.57,0.57,0,0,0,0.57,0,0,1.15,0,0,0,0.57,0.57,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0.98,0.98,0.98,0.98,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.06,0,1.06,0,0,2.12,1.06,0,0,0
 96-106,0,1.09,0,1.09,0,0,0,3.28,0,0,1.09,0,0,1.09,0,1.09,1.09
108-118,0.77,1.53,0,0,0.77,0,0,0,0.77,0.77,0.77,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0
