stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,heart,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,pericytes,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,2,6,0,1,0,0
 24-34,0.82,0,0,0,0,0,0.82,0,0,0,0,1.64,0,45.15,0,0.82,0,0,9.03,0,1.64,0,0
 36-46,0,0,0,6.45,0,0,0,0,0,0,0,4.83,0,120.04,0.81,0,0,0,29,0,0.81,0,0
 48-58,0,0,0,16.07,0.57,0,5.16,0,0,0,0.57,5.74,1.15,106.15,0,0.57,0,0,15.49,0,1.15,0,0
 60-70,0,0.98,0,57.91,0,0,8.83,0.98,0,0,0,13.74,0,139.38,0,0,0.98,0,16.69,0,1.96,0,0
 72-82,0,0.98,0.98,41.23,0,0,4.91,0,1.96,0.98,0,23.56,0.98,94.24,0,0,0.98,0,2.94,0.98,2.94,0,0
 84-94,0,1.06,0,43.54,0,0,5.31,0,0,0,0,13.81,1.06,63.72,1.06,0,0,0,8.5,1.06,3.19,2.12,1.06
 96-106,0,0,0,21.86,0,0,9.84,0,1.09,0,0,12.02,0,43.71,0,0,0,0,2.19,1.09,2.19,1.09,0
108-118,0,1.53,0,18.38,0,0.77,4.6,0,0,0,0,9.96,0.77,52.09,0.77,0,0.77,0,0,0,3.06,0,0.77
120,0,0,0,13.72,0,0,1.96,0,0,0,0,7.84,3.92,35.28,0,0,0,0,0,0,1.96,0,0
