stage,eye,glial,mesenchyme,neural,spinal.cord,visceral.smooth.muscle
 24-34,0,0,0,3.28,1.64,0
 36-46,0.81,0,0,9.67,0,0
 48-58,0.57,0.57,0.57,14.92,3.44,0
 60-70,8.83,0,0,41.22,4.91,0
 72-82,19.63,0.98,0,74.61,4.91,0
 84-94,12.74,1.06,2.12,26.55,4.25,1.06
 96-106,8.74,0,0,17.49,2.19,0
108-118,6.13,0,0,23.74,0,0
120,3.92,0,0,27.44,0,0
