stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,3.28,0,0.82,1.64,0,0,2.46,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,4.03,0,0.81,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,5.16,0,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0.98,0.98,0,0.98,0,1.96,0,0,0,0,4.91,0,0,0,0,0,0,0,0,0,1.96
 72-82,0,3.93,2.94,0,0.98,1.96,0,0,3.93,4.91,1.96,0.98,7.85,0,0.98,1.96,0.98,9.82,0,0.98,0,0,0,0,0,0,4.91,0
 84-94,0,2.12,0,0,0,0,0,1.06,3.19,3.19,2.12,0,3.19,1.06,2.12,0,0,6.37,0,1.06,0,0,0,0,0,0,2.12,0
 96-106,0,3.28,3.28,1.09,5.46,0,0,3.28,6.56,16.39,2.19,2.19,9.84,1.09,1.09,5.46,0,9.84,0,6.56,0,0,0,0,1.09,0,6.56,1.09
108-118,0,0.77,0.77,0,2.3,0,0,2.3,3.83,19.15,7.66,2.3,6.89,1.53,2.3,4.6,0,15.32,0,4.6,1.53,0,0,0,0,0.77,6.89,0.77
120,0,0,0,0,5.88,0,1.96,0,3.92,41.16,1.96,0,0,0,0,7.84,1.96,15.68,0,5.88,1.96,0,0,0,0,0,11.76,0
