stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,79.07,1344.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0
  5-6,73.56,1133.98,0,6.13,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,36.78,6.13,0,0,18.39,24.52,0,0,0,0,0,0,0,0,0
  7-9,105.15,31.54,0,110.41,0,0,152.47,0,0,0,0,123.55,0,0,0,0,0,0,0,0,0,0,0,1485.22,110.41,0,0,573.06,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,37.76,0,88.12,0,12.59,122.73,0,0,0,0,88.12,0,0,0,0,0,0,0,0,0,0,0,1161.23,195.11,0,0,626.25,0,0,62.94,0,6.29,3.15,0,0,0,0
 14-21,0,0,2,1,5,1,4,0,0,3,1,0,0,0,0,0,0,0,0,2,0,0,1,57,5,1,2,0,0,3,0,2,6,44,0,0,2,0
 24-34,0,0,0.82,0,0.82,0,9.03,0.82,0,4.1,0,0.82,0,0,0,0,0,0,0,9.85,0,0,4.1,123.95,5.75,1.64,1.64,0,1.64,0,0.82,0,1.64,72.24,0,0,3.28,0
 36-46,0,0,0,0,1.61,0.81,25.78,0,0,12.89,0,0,0.81,0,0,0,0,1.61,0.81,21.75,1.61,0,7.25,228.81,8.86,0.81,0.81,0,0.81,0,0,0,0,132.94,0,0,5.64,0
 48-58,0,0,0,0,0.57,0,49.92,0,1.15,25.25,0,0,0,0.57,0.57,0,0,0,0,23.53,0,0,6.89,130.25,1.72,1.15,0.57,0,1.15,0,0,0,0,56.81,0,0,5.16,0
 60-70,0,0,0.98,0,2.94,0,142.32,0,1.96,62.82,0.98,0,0,0.98,0,0.98,0,0,0,59.87,0,2.94,4.91,192.38,0,0,1.96,0,0,0,0,0,0,40.24,0,0,4.91,0.98
 72-82,0,0,0,0,0,0,48.1,0,1.96,30.43,0,0,0,0.98,0,0,0.98,0,0,26.5,0,0,7.85,67.73,0,2.94,1.96,0,1.96,0,0,0,0,4.91,0,0.98,5.89,0
 84-94,0,0,0,0,2.12,0,50.98,0,0,38.23,0,0,1.06,1.06,0,0,0,0,0,19.12,0,0,3.19,46.73,2.12,1.06,2.12,0,1.06,0,0,0,0,21.24,1.06,1.06,0,0
 96-106,0,0,0,0,1.09,0,18.58,0,2.19,21.86,0,0,0,1.09,0,0,0,0,0,9.84,0,0,2.19,34.97,1.09,0,1.09,0,3.28,0,1.09,0,0,3.28,0,1.09,1.09,1.09
108-118,0,0,1.53,0,1.53,0,5.36,0,0.77,10.72,0,0,0,0,0,0,0,0.77,0,3.06,0,0,4.6,19.92,0.77,0,0,0,0,0,0.77,0,0,0.77,0,0,3.06,0
120,0,0,1.96,0,0,0,17.64,0,0,19.6,0,0,0,0,0,0,0,0,0,5.88,0,0,1.96,17.64,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0
