stage,blastomeres,endoderm,epidermis,eye,glial,gut,melanocytes,mesenchyme,muscle,neural,periderm,pronephros,spinal.cord,taste
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,6.29,0,0,0,0
 14-21,0,0,1,0,0,0,1,0,1,0,0,1,1,0
 24-34,0,0,1.64,0,0,0,0,0,0,0,0.82,0,2.46,0
 36-46,0,0,0.81,0,0,0,0,0,0,0.81,0,0,0.81,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0.98,1.96,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,0,0,1.09,0,0,0,0,0,1.09
108-118,0,0,0,0,0,0.77,0,0,0,0,0.77,0,0,0
120,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
