stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.69,0,0,0,10.51,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,132.17,0,0,0,12.59,0,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,8,55,2,0,5,0,0,1,7,0,0,0,3,0,0,0,21,0,0,2,107,2,1,5,1,0,18,0,2,5,1,53,0,0,1,0,0
 24-34,0,0,0,4.1,32.01,0,0,10.67,2.46,0,3.28,3.28,0,0.82,10.67,12.31,0,9.03,3.28,13.95,5.75,0,10.67,165.81,0.82,8.21,9.85,0,0,54.18,0,0,8.21,0.82,51.71,0,0,0,0,0
 36-46,0,0,0,0,19.34,1.61,0,12.09,4.03,0.81,6.45,1.61,0,1.61,12.09,5.64,0,6.45,0.81,21.75,2.42,1.61,7.25,107.96,2.42,8.06,6.45,0,0,72.51,0.81,0,9.67,0,41.09,0,0,1.61,0,0.81
 48-58,0,0,0,0,13.2,0,0,10.9,1.72,1.72,12.62,0,1.72,2.3,10.33,1.15,0,4.02,0.57,18.94,2.3,0.57,3.44,57.95,0,3.44,5.16,0,0,33.28,0,0,6.89,0,17.21,0,0,0.57,0,0.57
 60-70,0.98,0,0,0,12.76,0,0,11.78,4.91,0.98,22.58,1.96,2.94,1.96,21.59,0.98,0,7.85,0.98,13.74,0.98,1.96,2.94,35.33,0,1.96,7.85,0,0,38.28,0,0,0,0,7.85,0,0,0,0,0
 72-82,0,0,2.94,0,23.56,1.96,0,17.67,3.93,1.96,26.5,4.91,1.96,0.98,22.58,4.91,1.96,9.82,0,36.32,3.93,1.96,4.91,44.17,0,12.76,9.82,0,0.98,48.1,0,0,1.96,0,1.96,11.78,0,1.96,0.98,0
 84-94,0,0,7.43,0,50.98,2.12,0,16.99,5.31,1.06,26.55,19.12,1.06,1.06,47.79,10.62,0,8.5,1.06,22.3,5.31,2.12,5.31,32.92,0,6.37,5.31,0,2.12,135.94,0,0,4.25,0,2.12,4.25,0,5.31,2.12,0
 96-106,0,0,5.46,0,42.62,2.19,0,5.46,3.28,1.09,15.3,14.21,1.09,1.09,38.25,9.84,2.19,10.93,2.19,18.58,4.37,3.28,5.46,27.32,0,9.84,9.84,0,0,112.56,0,0,4.37,0,2.19,6.56,0,3.28,0,0
108-118,0,0,0.77,0.77,61.28,3.83,0.77,4.6,6.89,1.53,27.57,14.55,0,2.3,39.83,12.26,0,16.85,1.53,17.62,2.3,3.83,3.83,37.53,0,3.06,13.79,0,0,75.06,0,0,3.06,0,0.77,10.72,1.53,5.36,1.53,0
120,1.96,0,1.96,1.96,29.4,0,0,9.8,7.84,1.96,13.72,1.96,0,0,41.16,17.64,1.96,5.88,0,21.56,1.96,3.92,0,35.28,0,3.92,13.72,0,0,48.99,0,0,3.92,0,3.92,3.92,1.96,1.96,3.92,0
