stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,0,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,251.32,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,5.26,0,0,0,2.63,0,0,0,0,0,73.6,5.26,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,5,0,0,0,0,1,0,1,1,0,0,1,2,1,0,0,0,2,0,0,1,0,0
 24-34,0,0,0,1.64,0.82,1.64,0.82,0,0,0,0,3.28,0,0.82,0.82,18.88,0,0,0,0.82,0,0.82,0.82,4.93,0.82,0
 36-46,0,0,0,0.81,0,0,0,0.81,0,0,0,4.03,0,0,1.61,29,0.81,0,0,0,0,0,0,5.64,0,0
 48-58,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,8.03,0.57,0,0,0.57,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,1.06,1.06,0,0,0,0,0,1.06,0,1.06,0,1.06,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,1.09,0,1.09,0,0,0,0,1.09,0,0,0,0,1.09,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0.77,0,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
