stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.75,2.63,0,0,18.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,15,6,0,6,0,0,0,3,1,0,0,1,0,0,0,1,0,8,0,4,70,0,2,0,3,0,14,1,1,15,28,0,2,0,0
 24-34,0,0,0,1.64,6.57,1.64,0,12.31,0,0.82,0.82,0,0,0,0,0.82,0.82,0,0.82,0.82,0.82,24.63,0.82,2.46,66.49,0,0,0.82,0,2.46,0,0,0.82,3.28,12.31,0,3.28,0,0
 36-46,0,0,0,0,2.42,0,0,5.64,0,0,0,0,0.81,0,0,1.61,0.81,0,0,0.81,0,5.64,0.81,2.42,12.09,0.81,0,0,0,2.42,0,0.81,0,0,2.42,0,1.61,0,0.81
 48-58,0,0,0,0,2.3,0,0,4.59,0.57,0.57,0,2.3,0,0,0,1.72,1.15,0,0,0.57,0,12.05,0,1.72,12.62,0,0,0.57,0,1.15,0,0,0.57,0,2.3,0,0,0,0.57
 60-70,0,0,0,0,2.94,0,0,3.93,0,0,0.98,1.96,0,0,0,0,0,1.96,0,0.98,0,9.82,0.98,0.98,3.93,0,0,0.98,0,1.96,0,0.98,0.98,0,0.98,0.98,0,0,0
 72-82,0,0,0.98,0,1.96,0.98,0,4.91,0.98,0.98,0,0,0,0,0,5.89,0,0,0,0,0,14.72,0.98,1.96,4.91,0,0,0,0,0.98,0,0,0,0,0,0.98,2.94,0.98,0.98
 84-94,0,0,1.06,1.06,4.25,1.06,0,4.25,0,1.06,1.06,2.12,2.12,1.06,1.06,1.06,1.06,1.06,0,0,0,11.68,1.06,3.19,1.06,0,0,0,0,3.19,0,0,0,0,0,0,2.12,0,1.06
 96-106,0,0,0,0,2.19,1.09,0,4.37,1.09,0,0,0,1.09,0,1.09,7.65,4.37,0,0,0,0,5.46,0,1.09,1.09,1.09,0,0,0,5.46,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,0.77,0.77,1.53,0.77,0,1.53,0,3.83,3.06,0,0,7.66,0.77,0.77,0,0,0.77,9.96,0,1.53,3.06,0.77,0.77,0,0,4.6,0,0,0.77,0,0,0,0.77,0,0
120,0,0,0,0,0,1.96,0,3.92,0,3.92,0,0,0,0,0,9.8,1.96,1.96,0,0,0,3.92,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0
