stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,0,4,16,0,0,2,0,0,0,0,2,7,0,0,0,0,0,0,0,3,0,0,2,17,12,0,0,72,1,0,4,5,0,0,3,0,0
 24-34,0,0,3.28,3.28,0.82,0,6.57,0,2.46,0.82,0.82,1.64,0.82,0.82,0,5.75,0,0,0,0,4.1,5.75,0,1.64,42.68,4.93,3.28,0.82,288.94,0,0,4.1,10.67,0,0,4.1,0,0.82
 36-46,0,0,0,4.03,2.42,0,8.06,0,0.81,3.22,0.81,1.61,0,0.81,0,0.81,0,0.81,0,3.22,8.86,2.42,0,1.61,44.31,2.42,4.03,0,378.66,0.81,0,0,9.67,0,0,1.61,0,0
 48-58,0,0,0,6.31,5.74,0,11.48,0,1.15,1.15,1.15,0.57,0,0.57,0,0,0,1.15,0.57,1.72,9.18,2.3,0,4.02,28.69,1.15,1.15,0.57,280.59,0,0,0,8.61,0,0,2.3,0,0.57
 60-70,0,1.96,0,8.83,1.96,0,13.74,0,0,0,3.93,3.93,0,0,0.98,0,0,0,2.94,0,10.8,0.98,0.98,0.98,37.3,0,1.96,0.98,136.43,0,0.98,0,5.89,1.96,0,1.96,0,0
 72-82,0,7.85,0,9.82,0.98,0,37.3,0,0,0.98,16.69,11.78,0,0.98,0,0.98,0.98,2.94,1.96,2.94,22.58,1.96,0.98,0.98,76.57,1.96,4.91,2.94,80.5,0,0,0,3.93,12.76,0,1.96,0,1.96
 84-94,0,2.12,0,44.61,0,0,31.86,0,0,1.06,5.31,72.22,0,1.06,5.31,6.37,1.06,1.06,1.06,1.06,14.87,3.19,0,2.12,46.73,0,3.19,1.06,304.8,0,0,0,5.31,76.47,0,4.25,0,0
 96-106,0,3.28,0,69.94,1.09,3.28,37.16,1.09,2.19,1.09,6.56,121.31,0,0,3.28,2.19,0,6.56,3.28,0,15.3,0,2.19,2.19,49.18,0,5.46,4.37,259,0,0,0,0,146.44,2.19,5.46,0,1.09
108-118,0,2.3,0.77,114.89,3.83,0,34.47,0,5.36,0,9.96,231.32,0,0,4.6,11.49,0,6.13,2.3,0,20.68,5.36,2.3,2.3,70.47,1.53,6.13,0.77,255.83,0,0,0,0,197.62,0,4.6,0,2.3
120,0,3.92,0,56.83,0,0,13.72,0,9.8,0,9.8,127.39,0,1.96,5.88,7.84,0,3.92,1.96,0,19.6,0,0,1.96,48.99,0,3.92,0,201.86,0,0,0,3.92,60.75,0,0,3.92,3.92
