stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,803.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,24.52,563.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,81.49,0,0,0,26.29,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,2.46,0.82,0,0,0.82,0,0,0,4.1,0.82,0,0.82,0,0,0,0,21.34,0.82,1.64,0,0,0.82,5.75,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,2.42,0,0,0,1.61,0,0,0,0,0.81,0,0,34.64,0,0.81,0,0,0,7.25,0,0.81,0,0,0,0,0,0,0,2.42,0,0,0,0,0
 48-58,0,0,0,0,0.57,0.57,0,10.9,0,0,0,10.33,0.57,0,0,0,0,0,0,47.63,0.57,2.3,0,0,0,21.23,0,0,0,0,0,1.15,0,0,0,10.33,0,0.57,0.57,0,0
 60-70,0,0,0,0,2.94,0,0.98,20.61,0,0,0,3.93,0.98,0,0,0,0,0.98,0,80.48,0,4.91,0,0,0,30.43,0,0.98,0,0,0,2.94,0,0.98,0,4.91,0,0,1.96,0,0
 72-82,0,0,0,0,6.87,5.89,0,80.5,0,0,0.98,53.01,0.98,0,1.96,2.94,0,0.98,2.94,196.33,0.98,38.28,4.91,0.98,5.89,171.79,0,0.98,3.93,0,0,9.82,0,0,0,21.6,1.96,0.98,18.65,1.96,6.87
 84-94,0,0,0,0,12.74,10.62,1.06,115.76,0,1.06,2.12,35.05,5.31,0,2.12,4.25,2.12,2.12,2.12,546.95,2.12,44.61,2.12,3.19,3.19,167.8,3.19,4.25,1.06,0,2.12,28.68,1.06,0,1.06,15.93,2.12,2.12,12.74,5.31,4.25
 96-106,0,0,2.19,0,71.04,78.68,10.93,280.86,8.74,10.93,17.49,101.63,30.6,0,7.65,27.32,12.02,5.46,5.46,840.4,2.19,171.58,8.74,8.74,27.32,569.37,5.46,14.21,13.11,0,5.46,135.51,1.09,1.09,2.19,16.39,6.56,6.56,65.57,13.11,20.76
108-118,0,0,1.53,0,56.68,28.34,11.49,278.81,0.77,12.26,11.49,78.89,21.45,0,1.53,13.79,9.19,8.43,5.36,1572.52,3.83,172.34,4.6,4.6,28.34,522.39,5.36,10.72,12.26,0,7.66,80.43,0,3.06,5.36,13.79,5.36,3.83,29.87,3.83,12.26
120,1.96,0,0,0,41.16,23.52,0,115.63,3.92,5.88,3.92,70.55,11.76,0,1.96,7.84,3.92,7.84,1.96,889.74,1.96,82.31,0,9.8,25.48,348.84,0,5.88,7.84,0,3.92,37.24,0,1.96,0,15.68,1.96,1.96,13.72,0,1.96
