stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,8,1,0,0,0,2,0,1,0,0,7,0,1,1,0,0,13,1,0,1,10,1,2,1,7,0,0,0
 24-34,0,0,0,2.46,0.82,0,0,0,4.93,0,0,0,0,29.55,0,1.64,3.28,0,0.82,15.6,1.64,1.64,0.82,27.09,0,5.75,0,12.31,0,0,0
 36-46,0,0,0,3.22,0,0,0,1.61,6.45,0.81,0,0.81,0,8.06,0,3.22,1.61,0,0,12.09,0,2.42,0.81,16.92,0,1.61,0,9.67,0,0,0
 48-58,0,0,0,2.87,0.57,0,1.15,0,4.59,0.57,1.15,0.57,0,3.44,0,2.87,2.87,0,0.57,2.87,0,1.15,0,5.74,0,1.15,0,6.89,0,0,0
 60-70,0,0,0,4.91,1.96,0,0,0,7.85,0,1.96,0,0,5.89,0,1.96,0,0,0,4.91,0,0.98,0,1.96,0,0,0,1.96,0,0,0
 72-82,0,0.98,0,5.89,1.96,0,0,0,8.83,0,0.98,0,0,9.82,1.96,6.87,1.96,0.98,0,0,0,1.96,2.94,0,0,0,0,7.85,0,0,0
 84-94,0,0,0,7.43,1.06,0,1.06,1.06,4.25,0,3.19,0,0,20.18,0,3.19,1.06,0,0,3.19,0,1.06,0,5.31,0,2.12,0,2.12,0,1.06,1.06
 96-106,0,0,0,9.84,2.19,1.09,0,0,4.37,2.19,0,0,0,21.86,0,3.28,1.09,0,0,5.46,0,0,1.09,2.19,0,0,0,2.19,0,0,0
108-118,0,0,0,3.06,0,0,0,1.53,3.06,0,0,0.77,0,25.28,1.53,3.06,0.77,0,0,3.06,0,0,3.06,1.53,0,1.53,0,1.53,1.53,0,0
120,0,0,0,9.8,0,0,0,0,0,0,0,0,1.96,15.68,1.96,9.8,0,0,0,1.96,0,0,0,0,0,0,0,3.92,0,0,0
