stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,gut,immune,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,12.26,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,5.26,0,21.03,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,3.28,0,1.64,0,0,0,1.64,0
 36-46,0,0,0,0,1.61,0,0,0,0.81,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0.57,0,0,0,7.46,0.57,0.57,0,0,0,0,0.57
 60-70,0,0,0,0,1.96,0,0,0,2.94,0,0,0,0,0,0,0.98
 72-82,0,0,0,2.94,0.98,0,3.93,0,11.78,0.98,3.93,0,0,0,0,0.98
 84-94,0,0,0,1.06,0,0,0,0,12.74,0,1.06,0,0,0,1.06,0
 96-106,0,0,0,0,1.09,1.09,6.56,0,30.6,0,0,0,0,1.09,0,0
108-118,0,0,0,0.77,0,0,0.77,0.77,10.72,0.77,2.3,0.77,0,0.77,0,0.77
120,0,0,0,1.96,1.96,0,0,0,21.56,0,1.96,0,0,1.96,0,0
