stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,13.18,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,12.26,373.91,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.89,0,5.26,0,0,0,0,7.89,0,0,0,0,0,0,0,68.35,5.26,0,31.54,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,75.53,0,0,18.88,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,7,1,0,0,1,0,0,0,0,0,3,0,0,2,28,0,0,3,0,0,8,0,3,14,0,1,0
 24-34,0,0,0,1.64,12.31,0,0,0.82,0,0,0.82,0,0,7.39,0,0,4.93,59.1,0,0,0,0,2.46,0,0.82,0.82,15.6,0,1.64,0
 36-46,0,0,0,0,11.28,0,0,3.22,0,0,0,0.81,0,8.06,0,0.81,0.81,41.89,0.81,0.81,0,0,1.61,0,0,0,9.67,0,0.81,0
 48-58,0,0,0,0.57,9.18,0,0,5.16,0,0,0,0.57,0.57,9.18,0.57,0,1.15,19.51,0,1.15,0,0,0.57,0,0,0,7.46,0,0.57,0
 60-70,0,0,0,0,11.78,0,0,0,0.98,0,0,0.98,0,10.8,0,0,1.96,18.65,0,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,11.78,0,0.98,4.91,0,0,0,0.98,0,13.74,0,0,1.96,14.72,0,0.98,0,0,2.94,0,0.98,0,0.98,0,0,0
 84-94,0,0,0,2.12,7.43,1.06,0,6.37,1.06,0,0,1.06,0,6.37,0,1.06,0,8.5,0,0,0,0,2.12,0,1.06,0,2.12,0,2.12,0
 96-106,0,0,0,0,2.19,0,0,1.09,1.09,0,0,0,0,4.37,0,1.09,0,4.37,0,0,0,0,2.19,0,0,0,0,0,0,1.09
108-118,0,0,0,0.77,2.3,0,0,1.53,0,0,0,0,0,3.83,0,0,1.53,10.72,0.77,0,0,0.77,0,0,0.77,0,0,0.77,0.77,0
120,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,9.8,0,0,0,0,3.92,0,0,0,0,1.96,0,0
