stage,axial,blastomeres,epidermis,eye,glial,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,xanthophores
  3-4,13.18,553.47,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,15.77,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
 24-34,0,0,0.82,0.82,0,0,1.64,2.46,2.46,0,0,0,0,0,0,0,0.82
 36-46,0,0,0,0.81,0,4.83,0,4.03,0.81,0,0,0,0.81,0,0,0.81,0
 48-58,0,0,0,1.15,0,2.3,0,6.31,0.57,0,0,0,0,0,0,2.3,0
 60-70,0,0,0,3.93,0.98,2.94,0,10.8,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0.98,0,4.91,0,4.91,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,3.19,1.06,2.12,0,0,1.06,0,0,0,0,1.06,0
 96-106,0,0,0,2.19,2.19,5.46,0,2.19,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0.77,0,4.6,0,3.06,0,0,0,0.77,0,0,0,0.77,0
120,0,0,0,1.96,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0
