stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,52.71,1502.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,55.17,943.96,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,12.26,0,0,0,0,0,0,0
  7-9,7.89,13.14,0,2.63,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,123.55,7.89,0,0,55.2,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,6.29,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,12,3,0,0,0,0,2,1,0,3,0,0,0,1,1,0,1,7,1,0,3,0,7,4,1,13,5,0,0,0
 24-34,0,0,0,0,8.21,0,0,0,0,0,0.82,0,0,4.1,0,0,0,2.46,0,0,0.82,8.21,0,0,3.28,0,11.49,0,2.46,1.64,2.46,0,0,0
 36-46,0,0,0,0,3.22,0,0.81,0,0,0,0,0,0,1.61,0,0.81,0.81,2.42,0.81,0,0,13.7,0,5.64,1.61,0,9.67,0,0.81,0,1.61,0,0,0.81
 48-58,0,0,0,0.57,0.57,0,0,0.57,0,0,0,0,0,0.57,0,0.57,0,1.15,0,0,0.57,7.46,0.57,1.72,2.3,0,4.02,0,0.57,0,1.15,0,0,0
 60-70,0,0,0.98,0,1.96,0,0.98,0,0,0,0.98,0,0,1.96,0,0,0,3.93,0.98,0.98,0.98,11.78,0,0,1.96,0,8.83,0,0.98,0,2.94,0.98,0,0
 72-82,0,0,1.96,0,3.93,0,5.89,0,0,0.98,2.94,0,0,0,0,1.96,0,4.91,4.91,0,0,10.8,0.98,1.96,0.98,0,2.94,0,1.96,0,0,1.96,0,0.98
 84-94,0,0,0,0,7.43,0,5.31,0,1.06,1.06,2.12,0,2.12,2.12,0,0,0,7.43,3.19,0,0,4.25,0,6.37,1.06,0,31.86,0,1.06,0,0,1.06,0,0
 96-106,0,0,3.28,0,9.84,0,3.28,0,1.09,1.09,8.74,0,4.37,0,0,1.09,1.09,2.19,1.09,0,0,6.56,0,2.19,1.09,0,21.86,0,1.09,0,1.09,2.19,1.09,1.09
108-118,0,0,0.77,0.77,9.19,0,3.06,0,0,3.83,5.36,0,3.06,2.3,0.77,3.06,1.53,4.6,2.3,0,1.53,12.26,0,3.83,5.36,0,20.68,0,1.53,0,0,4.6,0,0
120,0,0,0,1.96,19.6,0,7.84,1.96,0,1.96,3.92,0,3.92,5.88,0,0,1.96,3.92,0,0,1.96,3.92,1.96,3.92,5.88,0,25.48,0,0,0,1.96,3.92,0,0
