stage,epidermis,eye,glial,gut,mesenchyme,mural_cell,muscle,neural,periderm,spinal_cord,taste,vasculature
 14-21,0,0,0,0,1,0,1,4,3,0,0,0
 24-34,0.82,0,0.82,0,0,0,1.64,2.46,4.93,1.64,0,0.82
 36-46,0,0.81,0,0,0.81,0,0,2.42,0.81,0.81,0,0
 48-58,0,0,0.57,0,0.57,0.57,0.57,4.02,0,0.57,0,0.57
 60-70,0,0.98,0,0,0,0,0,2.94,2.94,0.98,0,0.98
 72-82,0.98,0.98,0,0,0,0,0,6.87,0,0,0.98,0
 84-94,0,1.06,1.06,0,0,0,0,1.06,4.25,0,0,0
 96-106,1.09,1.09,0,0,0,0,0,1.09,0,0,0,0
108-118,0,2.3,0,0.77,0,0,0,3.83,0.77,0,0,0
120,0,3.92,0,0,0,0,0,3.92,1.96,0,0,0
