stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,44,2,0,0,0,0,0,0,0,45,0,0,0,0,0
 24-34,0,0.82,1.64,0,0,13.13,0,0.82,0,1.64,0,0,0,0,0.82,0,0,0,4.93,0,0,2.46,476.92,0,28.73,0,0,0,0.82,0,0.82,186.33,0,0,0,0,0
 36-46,0,0.81,0.81,0,0,24.98,0,0,0,2.42,0,0,0,0,0,0.81,0,0,9.67,0,0,0.81,937.8,0,37.06,0,0,0,0,0,0,291.65,0,0,0,0,0.81
 48-58,0,0.57,1.15,0.57,0,132.55,0,0,0,7.46,0,0.57,0,0,0,0.57,0,0.57,16.64,0,0.57,2.3,1076.46,0,21.8,0.57,0,0,1.72,0,0,245.59,0,0,0.57,0,1.72
 60-70,0,0,5.89,0.98,0,754.79,0,1.96,1.96,20.61,0,0,0,0.98,0,0.98,0,0,21.59,0,0,5.89,1979.73,0,27.48,0,0,0,3.93,0,0,306.23,0.98,0,0,0,3.93
 72-82,0,2.94,18.65,6.87,0.98,1343.9,0.98,0.98,2.94,47.12,1.96,0,0,1.96,0,0.98,0,0,37.3,1.96,0.98,1.96,1838.65,0,55.95,1.96,0,0,0.98,0,0,189.46,0.98,1.96,2.94,0.98,4.91
 84-94,0,3.19,20.18,3.19,0,1086.46,0,4.25,0,42.48,0,0,1.06,2.12,0,2.12,1.06,0,29.74,0,4.25,2.12,1096.02,0,38.23,0,0,0,4.25,0,0,138.06,4.25,2.12,3.19,0,0
 96-106,0,3.28,16.39,5.46,1.09,958.43,1.09,1.09,2.19,57.92,1.09,0,3.28,3.28,2.19,4.37,1.09,0,30.6,0,2.19,4.37,888.48,0,71.04,3.28,0,1.09,7.65,1.09,0,52.46,3.28,2.19,4.37,1.09,3.28
108-118,0,3.06,9.19,2.3,0.77,668.69,1.53,0,0.77,53.62,2.3,0,0,0.77,0,0.77,0.77,0,19.15,0,0.77,0.77,1030.22,0,50.55,0,0,0,3.06,0.77,0,34.47,7.66,0,0.77,1.53,0
120,0,3.92,15.68,0,0,642.81,3.92,0,0,56.83,0,0,0,0,0,0,0,0,27.44,0,0,0,1091.6,1.96,43.12,0,0,0,1.96,0,0,58.79,5.88,0,0,0,0
