stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,91.26,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,5,1,0,4,0,0,0,0,0,0,1,0,2,0,0,0,0,5,1,0,1,79,0,33,2,1,0,0,1,2,0,0,3,27,0,0,0,0,0
 24-34,0,0,0,13.13,0.82,0,5.75,0,2.46,0,3.28,1.64,0,0.82,0,2.46,0,0.82,0,0,9.03,0,0,7.39,182.23,0,21.34,1.64,0,0,9.03,0,0,0,0,2.46,42.68,0,0,5.75,0,0
 36-46,0,0.81,0,10.47,0.81,0,11.28,3.22,1.61,0,8.86,0.81,0.81,1.61,2.42,0.81,0,0,0.81,0.81,13.7,2.42,0,2.42,290.85,0,9.67,2.42,0,0,7.25,0,0,0,0.81,0,39.48,0,0,4.83,0,0
 48-58,0,0,0,14.35,0.57,0,15.49,0.57,0.57,0,18.36,0,0.57,1.15,0.57,0.57,0,0,0.57,0.57,14.92,1.15,0,2.87,200.26,1.72,2.3,1.72,0,0,8.03,0,0,0,1.15,0,37.87,0,0.57,3.44,0,1.15
 60-70,0,0,0,19.63,1.96,0,28.46,0,4.91,0.98,34.35,0.98,0.98,0.98,1.96,0,0,0,0.98,0.98,41.22,2.94,2.94,4.91,195.32,3.93,1.96,2.94,0,0.98,11.78,0,0,1.96,1.96,0,33.37,0,0,8.83,0,2.94
 72-82,0,0.98,0,21.6,2.94,0,39.27,0,2.94,0.98,38.28,2.94,0,0,0.98,0,0.98,0,1.96,1.96,81.48,4.91,7.85,3.93,182.59,0,8.83,0,0,0.98,5.89,0,0,0,0,0,13.74,3.93,1.96,17.67,2.94,0
 84-94,0,2.12,0,29.74,1.06,0,20.18,0,4.25,0,36.11,1.06,0,0,1.06,3.19,2.12,0,0,0,48.85,2.12,3.19,4.25,106.2,1.06,2.12,2.12,0,0,6.37,0,0,0,0,0,8.5,8.5,3.19,15.93,3.19,1.06
 96-106,0,3.28,0,50.27,2.19,0,18.58,0,1.09,0,20.76,3.28,0,1.09,4.37,1.09,0,0,1.09,0,54.64,4.37,1.09,1.09,96.17,0,6.56,2.19,0,0,3.28,0,0,0,0,0,2.19,12.02,3.28,18.58,3.28,1.09
108-118,0,3.83,0,27.57,0,1.53,16.09,0,5.36,5.36,16.85,3.06,0,0,4.6,1.53,1.53,1.53,1.53,0.77,51.32,2.3,1.53,2.3,152.43,0,5.36,7.66,0,0.77,4.6,0,0,0,0,0,3.06,12.26,0.77,19.92,1.53,2.3
120,0,0,0,43.12,1.96,1.96,11.76,0,11.76,0,31.36,1.96,0,0,5.88,0,0,0,0,0,33.32,0,3.92,3.92,86.23,0,3.92,1.96,0,1.96,3.92,0,0,0,0,0,3.92,1.96,0,19.6,0,0
