stage,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,64,0,0,0,0,0,2,0,0,0,14,0,2,0,85,2,148,0
 24-34,0,0.82,0,0,0,55.82,0,0,0.82,0,0,4.1,0,0,0.82,20.52,0,0,1.64,46.79,1.64,116.56,0.82
 36-46,0,0,0,0,0,24.98,0,0,0,0,0,0,0,0,0,7.25,2.42,0,0,16.92,0,66.06,0
 48-58,0,0,0,1.15,0,22.95,0,0,0,0,0,1.72,0,0,0,5.16,1.15,0,0.57,2.87,0,45.9,0
 60-70,0,0,0,0.98,0.98,17.67,0,0.98,0,0,0,0,0,0,0,1.96,3.93,0.98,1.96,1.96,0,24.54,0
 72-82,0,0.98,0.98,0,0,14.72,0,0,0,0,0,0,0,0,0,3.93,4.91,1.96,4.91,2.94,0,18.65,0
 84-94,1.06,0,0,1.06,0,10.62,0,0,0,1.06,0,0,0,1.06,0,2.12,10.62,4.25,13.81,5.31,0,22.3,1.06
 96-106,0,3.28,0,0,1.09,8.74,1.09,1.09,2.19,0,1.09,2.19,1.09,0,0,5.46,7.65,6.56,8.74,3.28,0,18.58,0
108-118,0.77,1.53,0,0.77,0,5.36,0,0,0,0,0,0.77,0.77,0,0,0.77,6.13,1.53,14.55,3.83,0,16.09,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0,7.84,5.88,5.88,0,7.84,0
