stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,14,0,0,0,0,0,1,7,0,0,0,0,0
 24-34,0,4.1,0.82,0,1.64,0,10.67,0,1.64,0,0,0,0,0,0.82,0,0,8.21,1.64,0,0,0.82,91.94,0.82,0,0,0,0,0.82,32.01,0,0,0.82,0,1.64
 36-46,0,2.42,0,0,1.61,0,5.64,0,0.81,0,0,0,0,0,0,0,0,6.45,4.03,0,0,0.81,195.78,0,0.81,0,0,0,0,35.45,0,0,0,0,0.81
 48-58,0,2.87,1.72,0,10.33,0,8.61,0,1.15,0,0,0,0,0,0,0,0,2.3,6.31,0.57,1.72,1.15,249.61,0,0.57,0,0,0,0,39.02,0,0,0.57,0,0.57
 60-70,0,3.93,1.96,0,23.56,0,5.89,0,5.89,0,0.98,0,0,0,0,0,0,2.94,11.78,0,3.93,0,315.07,0.98,0,0,0,0,0,49.08,0,0,1.96,0,0
 72-82,0,5.89,6.87,0.98,49.08,0.98,3.93,2.94,6.87,1.96,0,0.98,0,0,1.96,0,0,2.94,20.61,0,1.96,0,503.59,0.98,2.94,0,1.96,0.98,0,33.38,0.98,5.89,1.96,0,0.98
 84-94,0,6.37,6.37,0,44.61,0,4.25,0,8.5,6.37,0,0,0,0,0,0,0,0,20.18,0,1.06,0,262.32,0,3.19,0,2.12,0,0,14.87,2.12,0,0,1.06,0
 96-106,0,3.28,4.37,3.28,44.81,0,0,1.09,10.93,3.28,0,0,0,0,0,1.09,0,4.37,18.58,0,0,0,192.34,0,12.02,0,3.28,0,0,5.46,0,1.09,0,0,2.19
108-118,0,5.36,1.53,0,36.77,0,2.3,0,4.6,0.77,0,0,0.77,0.77,0,0,0.77,0.77,16.09,0,0,0.77,269.62,0,3.83,0,4.6,0,0,3.06,0,0.77,0,0,0
120,0,1.96,3.92,0,15.68,0,3.92,0,5.88,0,0,0,0,0,0,0,1.96,0,19.6,0,1.96,0,243.01,0,3.92,0,0,0,0,1.96,0,0,0,0,0
