stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,ionocyte,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,3,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,1.64,10.67,0,0,0,0,0,0,13.13,0.82,0.82,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,1.61,0,0.81,0,0,1.61,0,0,0,0,0,0,7.25,0,2.42,0,0
 48-58,0,0,0,0,0,0,2.3,0,0,0.57,2.87,0,1.15,1.15,0,4.02,0,0,0,0,0,0,4.02,0,1.15,0,0
 60-70,0,0.98,0,0,0,0,0.98,0,0,1.96,9.82,0,3.93,0,0,3.93,0,0,0,0.98,0,0,9.82,0,0.98,0,0
 72-82,0,12.76,0,0,0.98,0,1.96,0,0,2.94,34.36,0,2.94,3.93,0,10.8,0,0.98,0,0,0,0,7.85,0,0,0,0.98
 84-94,0,5.31,1.06,0,0,0,2.12,0,0,0,76.47,2.12,9.56,3.19,1.06,2.12,0,0,0,0,1.06,0,26.55,0,0,0,0
 96-106,0,15.3,5.46,0,0,1.09,2.19,1.09,1.09,2.19,130.05,0,20.76,1.09,0,27.32,0,0,0,0,2.19,0,16.39,0,0,0,0
108-118,0,6.89,5.36,0,0,0,3.83,0,0,0.77,132.51,0,16.09,2.3,0.77,22.21,0.77,0.77,0,0,1.53,0,9.19,0,0.77,0.77,0
120,0,5.88,1.96,0,0,0,0,0,0,1.96,62.71,0,5.88,3.92,0,17.64,0,0,0,0,0,0,3.92,0,0,0,0
