stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,ionocyte,mesenchyme,muscle,neural,taste
 14-21,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.64,0
 36-46,0,0,0,2.42,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,14.92,0,0.57,0,0,0,0,0.57,0
 60-70,0,0,0,57.91,0,0,0,0,0.98,0,0,0
 72-82,0,0.98,0,47.12,0,0,0,0,0,0,0,0
 84-94,0,0,0,38.23,0,0,0,3.19,0,0,0,0
 96-106,0,0,1.09,22.95,0,0,1.09,1.09,3.28,1.09,0,1.09
108-118,0.77,0.77,0,22.98,0,0,0,0.77,0,0,3.83,0
120,0,0,0,15.68,1.96,0,0,1.96,0,0,0,0
