stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,1,0,1,0,0,2,2,0,0,0,0,0,0,0,1,0,0,1,10,2,0,0,0,1,1,1,1,2,7,0,0,0,0,0
 24-34,0,0,0.82,0,4.93,0,0,9.03,0,0,0.82,0,1.64,0,0,0,0.82,0,0,6.57,0,0,4.1,35.3,0,0.82,1.64,0,8.21,0,1.64,0,0,16.42,0,0,1.64,0,0
 36-46,0,0,0,0,2.42,0,0,11.28,0.81,0.81,4.83,0,0,0,0,0,0.81,0,0.81,14.5,0,0,3.22,51.56,0,4.83,0,0,9.67,0,3.22,0,0,9.67,0,0,0.81,0,0
 48-58,0,0,1.15,0,1.15,0,0,20.66,0,0,13.2,1.15,1.72,1.15,0,0,0.57,1.15,1.15,18.36,0.57,0.57,4.59,70,0,1.72,0,0,11.48,0.57,1.72,0,0,19.51,0,0,1.15,0,2.3
 60-70,0,0,0,0,1.96,0,0,36.32,0,0.98,28.46,1.96,0.98,0,0,0,0,0.98,0,23.56,0,0,1.96,89.32,0,4.91,0,0,8.83,0,2.94,0,0,12.76,0,0,0,0,0.98
 72-82,0,0,2.94,0,4.91,0.98,0.98,24.54,0,0.98,24.54,1.96,0.98,0.98,0,0.98,0,1.96,0,36.32,0,0.98,1.96,79.51,0.98,2.94,1.96,0,7.85,0,0.98,0,0,4.91,0.98,1.96,1.96,0.98,0
 84-94,0,0,1.06,0,7.43,0,1.06,19.12,3.19,0,22.3,6.37,0,0,1.06,0,0,9.56,0,16.99,0,0,1.06,35.05,0,2.12,1.06,0,19.12,0,1.06,0,0,6.37,0,0,1.06,4.25,0
 96-106,0,0,5.46,0,10.93,1.09,0,14.21,0,0,19.67,5.46,1.09,0,1.09,0,3.28,17.49,0,12.02,0,1.09,2.19,41.53,0,5.46,3.28,0,18.58,0,1.09,1.09,0,3.28,0,0,1.09,1.09,1.09
108-118,0,0,0.77,0,3.83,0.77,8.43,17.62,1.53,0,16.85,9.96,0,0.77,3.06,2.3,0,19.15,0.77,9.96,0,0,1.53,42.89,0,5.36,1.53,0,8.43,0,2.3,0,0,3.06,0,0.77,3.06,0.77,0
120,0,0,0,0,7.84,0,3.92,7.84,1.96,0,19.6,21.56,3.92,3.92,0,0,0,39.2,0,5.88,0,0,1.96,50.95,0,9.8,1.96,0,5.88,0,7.84,0,0,1.96,0,0,0,1.96,0
