stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,171.31,2991.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0
  5-6,140.98,2758.34,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,85.81,0,0,0,67.43,24.52,0,0,0,0,0,0,0,0
  7-9,23.66,31.54,0,44.69,0,0,97.26,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,1017.31,34.17,0,0,302.3,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,15.73,0,6.29,66.09,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,610.51,12.59,0,0,185.67,3.15,0,3.15,22.03,0,0,0,0,0
 14-21,0,0,0,1,15,2,7,0,0,6,1,0,0,0,0,0,0,10,0,0,9,152,3,0,1,6,0,1,21,3,14,36,0,0,0
 24-34,0,0,0.82,0,0,0,15.6,0.82,0,3.28,0.82,0,0.82,0.82,0,0,0,15.6,0,0.82,5.75,183.87,0,1.64,2.46,0,0,0,0,0.82,1.64,42.68,0.82,0,0.82
 36-46,0,0,0,0,0.81,0,23.36,0,0,3.22,0,0,0,0,0.81,0,0,9.67,0,0,1.61,99.9,0,1.61,0,0,3.22,0,0.81,0,0,19.34,0.81,0,0
 48-58,0,0,0,0,1.15,0,29.26,0,0,7.46,0.57,0,0,0,0,0,0,13.2,0,0,4.02,37.87,0,0.57,1.15,0,0,0,0,0,0,10.33,1.72,0,0
 60-70,0,0,0,0,0,0,18.65,0,0,5.89,0,0.98,0,0,0,0.98,0,13.74,0,0,0.98,28.46,0,0,0,0,0,0,0,0,0,2.94,0.98,0,0
 72-82,0,0,0,0,1.96,0,11.78,0,0.98,3.93,0.98,0,0,0,0,0,0.98,15.71,0,0.98,3.93,10.8,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,0,0,11.68,0,0,2.12,0,0,0,1.06,0,0,0,7.43,0,0,0,9.56,1.06,0,0,0,0,0,0,0,0,4.25,0,0,0
 96-106,0,0,1.09,0,1.09,0,3.28,0,0,1.09,0,0,0,1.09,0,0,0,7.65,0,0,0,5.46,0,0,1.09,0,2.19,0,0,0,0,0,0,1.09,0
108-118,0,0,0.77,0,0.77,0,2.3,0,0.77,0,0,0,0,0,0,0.77,0,2.3,0.77,0,1.53,6.89,0.77,0,0.77,0,0,0,0,0,0,0,0.77,0,0
120,0,0,0,0,0,0,1.96,0,1.96,1.96,0,0,0,1.96,0,0,0,3.92,0,0,1.96,3.92,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0
