stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.51,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,15.73,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,2,36,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,16,0,0,18,22,1,0,2,2,0,0,4,2,2,35,13,0,0,0,0
 24-34,0,0,0,0,41.04,0,0,2.46,2.46,4.93,4.93,3.28,0,0,4.1,0,0,0,0,0,2.46,50.89,0,0,39.4,30.37,0.82,1.64,1.64,0,0,0,0,3.28,0.82,18.06,7.39,0,1.64,0,1.64
 36-46,0,0,0,0,24.98,0,0,5.64,0.81,7.25,14.5,0.81,0,0,4.03,0,1.61,0,2.42,0,1.61,73.32,0,0.81,29.81,42.7,0,0,2.42,0,0,0,0,0.81,0.81,0.81,16.11,0,0.81,0,0.81
 48-58,0,0,0,0,12.62,0,0,29.84,5.16,8.03,12.62,1.72,0,0,1.72,0,0.57,0,1.15,0,5.74,66.56,0,2.3,21.23,39.02,0.57,0,0.57,0,0.57,0,0,1.72,3.44,0,26.4,0,0.57,0,2.3
 60-70,0,0,0,0,20.61,0,0,274.83,7.85,1.96,7.85,3.93,0,0,1.96,0.98,0,0,0,0.98,3.93,96.19,0,0.98,17.67,50.06,0.98,0,0,0,2.94,0,0,0.98,2.94,0,21.59,2.94,0,0,1.96
 72-82,0,0,0,0,23.56,0.98,1.96,362.23,3.93,1.96,10.8,10.8,2.94,0,0,0.98,0.98,0,1.96,0,3.93,104.06,0,3.93,14.72,97.18,0,0,1.96,0,11.78,1.96,0,0.98,0,0,14.72,2.94,2.94,0.98,2.94
 84-94,0,0,0,0,33.99,1.06,2.12,204.97,2.12,3.19,12.74,21.24,1.06,0,2.12,1.06,1.06,1.06,1.06,6.37,9.56,55.23,0,9.56,8.5,52.04,0,0,3.19,0,5.31,5.31,0,1.06,1.06,0,5.31,3.19,3.19,3.19,0
 96-106,0,0,1.09,0,30.6,2.19,5.46,158.46,3.28,7.65,6.56,17.49,0,0,0,4.37,0,6.56,0,4.37,7.65,55.74,0,3.28,10.93,68.85,0,1.09,0,0,5.46,4.37,0,0,0,0,4.37,3.28,1.09,1.09,1.09
108-118,0,0,0.77,0.77,36,0,18.38,105.7,6.13,20.68,4.6,13.79,0,0,0,0,0.77,4.6,1.53,3.06,7.66,36,0,5.36,13.02,63.57,1.53,0.77,0,0,5.36,1.53,0,3.06,2.3,0,4.6,3.06,2.3,1.53,0.77
120,0,0,0,0,60.75,1.96,11.76,86.23,3.92,17.64,3.92,7.84,0,0,1.96,0,0,1.96,0,3.92,1.96,39.2,1.96,5.88,13.72,113.67,1.96,3.92,0,0,9.8,5.88,0,3.92,1.96,0,5.88,1.96,1.96,0,0
