stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,2,0,2,0,2,0,0,0,0
 24-34,0,0,1.64,0.82,2.46,0,0,0,0,0,1.64,0,0,0,0,59.92,37.76,9.03,0.82,0.82,8.21,0,0.82,0,0
 36-46,0,0,0,2.42,2.42,0,0,0,0,0,0.81,0,0,0.81,0,55.59,42.7,5.64,1.61,0,8.06,0,0,0,0
 48-58,0,0,0.57,1.72,4.02,0,1.15,0,0,0,3.44,0,2.3,0.57,0.57,50.49,38.44,9.75,0.57,0.57,9.18,0,0,0,0.57
 60-70,0,0,0,0.98,11.78,0,0.98,0.98,0,0.98,10.8,0,12.76,0,0,50.06,28.46,26.5,0.98,0,7.85,0,0,0,0
 72-82,0,0,1.96,4.91,24.54,0,1.96,0,0,0.98,22.58,0,12.76,0,0.98,80.5,82.46,47.12,0.98,0,4.91,0,0,0,0
 84-94,0,2.12,0,2.12,9.56,1.06,2.12,3.19,0,0,40.36,1.06,8.5,0,0,43.54,63.72,78.59,2.12,0,4.25,1.06,0,0,0
 96-106,0,0,2.19,2.19,13.11,2.19,15.3,1.09,0,2.19,57.92,0,3.28,0,0,66.66,125.68,91.8,2.19,0,3.28,0,0,0,0
108-118,0,0.77,2.3,1.53,19.15,0.77,17.62,0,0,1.53,42.13,2.3,3.83,0,0,75.06,66.64,72,1.53,0,2.3,0.77,0,0.77,0
120,0,0,0,0,23.52,0,25.48,1.96,1.96,0,37.24,1.96,3.92,0,0,68.59,50.95,74.47,0,0,7.84,0,0,0,0
