stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,471.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,5.26,0,0,10.51,0,0,0,0,0,5.26,0,0,0,0,0,0,0,178.75,5.26,0,0,65.72,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,179.38,6.29,0,0,40.91,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,5,0,4,0,0,0,1,0,0,0,0,0,0,1,0,1,19,0,0,0,1,0,0,0,4,1,3,7,0,0,1,0
 24-34,0,0,0.82,0,0.82,0,9.03,0,0,0,0,0,0,0.82,0.82,0,0,7.39,0,0.82,67.31,0.82,0,0,0,0,0.82,0,0,0.82,0.82,12.31,0,0,0,0
 36-46,0,0,0,0,0.81,0,11.28,0,0,0,3.22,0,0,0,0,0,0,4.03,0,0.81,50.76,0,0,0,0,0,0,0,0,0,0,10.47,0,0,0,0
 48-58,0,0,0,0,0.57,0,9.75,0,0,0.57,2.87,0.57,0,0,0,0,0,4.59,0,1.72,35,0,0.57,0,0,0,0,0,0,0,0,10.9,0,0.57,0,0
 60-70,0,0,0,0,3.93,0,15.7,0,0.98,0,5.89,0.98,0,0.98,0,0,0,7.85,0,0,25.52,0,0,0,0,0,2.94,0,0,0,0,5.89,0,0,0.98,0.98
 72-82,0,0,0,0,0,0,9.82,0,0,0,8.83,0,0,0.98,0,0,0,11.78,0,0,33.38,0,0,1.96,0,0.98,0,0,0,0,0,1.96,0,0,2.94,0
 84-94,0,0,0,0,2.12,0,6.37,1.06,0,1.06,3.19,1.06,0,1.06,0,0,0,9.56,1.06,0,8.5,0,0,2.12,0,0,2.12,0,0,0,0,1.06,0,0,1.06,0
 96-106,0,0,0,0,0,0,3.28,0,0,0,3.28,0,0,0,0,0,0,4.37,0,1.09,10.93,0,0,0,0,1.09,0,0,0,0,0,1.09,0,0,1.09,0
108-118,0,0,0,0,1.53,0.77,3.83,0,0,0,1.53,0,0,0,0,0,0.77,6.13,0.77,0,16.09,0,0,0,0,0,0,0,0,0,0,0.77,0.77,0,0,0
120,0,0,0,0,3.92,0,7.84,0,1.96,0,3.92,3.92,0,0,0,1.96,0,9.8,0,3.92,19.6,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0
