stage,axial,blastomeres,endoderm,eye,mesenchyme,neural,notochord,paraxial.mesoderm,presomitic.mesoderm,pronephros,slow.muscle,somites
  3-4,13.18,237.2,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,98.07,0,0,0,42.91,0,0,0,0,0,0
  7-9,2.63,5.26,10.51,0,0,31.54,0,118.29,0,0,0,0
 10-12,0,0,0,0,0,12.59,9.44,245.46,31.47,6.29,0,12.59
 14-21,0,0,0,0,0,1,0,0,126,0,1,39
 24-34,0,0,0,0,0,0,0,0,1.64,0,0,20.52
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,1.72,0,0,0,0,0,0
 60-70,0,0,0,0.98,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,0,0,0
