stage,blastomeres,epidermis,eye,glial,heart,mesenchyme,neural,olfactory,paraxial.mesoderm,spinal.cord
  3-4,26.36,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.26,0
 10-12,0,0,0,0,0,0,3.15,0,6.29,0
 14-21,0,0,0,0,1,2,2,0,0,0
 24-34,0,0,0,0,3.28,0.82,4.93,0.82,0,0
 36-46,0,0,0,0,0.81,0,14.5,0.81,0,3.22
 48-58,0,0,1.15,0,0.57,0,19.51,0,0,1.72
 60-70,0,0,8.83,0,0,0,49.08,0,0,3.93
 72-82,0,0,9.82,0,0,0,33.38,0,0,2.94
 84-94,0,0,10.62,0,0,0,23.36,0,0,1.06
 96-106,0,0,18.58,1.09,1.09,0,19.67,0,0,1.09
108-118,0,0,5.36,0,0,0,17.62,0,0,0
120,0,1.96,7.84,0,0,0,25.48,0,0,0
