stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,1199.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0
  5-6,24.52,226.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,5.26,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,13.14,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,30,6,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,39,0,0,26,90,6,0,0,0,0,46,1,7,1,0,19,0,10,0,1
 24-34,0,0,0.82,40.22,0.82,0,31.19,0,3.28,4.1,1.64,1.64,0,8.21,4.1,0,0,1.64,0,0,163.35,0,1.64,67.31,154.32,29.55,2.46,4.1,0,0,82.91,0,0,0,1.64,32.83,0,50.07,0,1.64
 36-46,0,0,0,19.34,1.61,0,18.53,0,8.86,8.86,8.06,1.61,0,5.64,4.03,0.81,1.61,1.61,0,3.22,237.67,0,7.25,46.73,63.65,19.34,1.61,1.61,0,0,60.43,0,0.81,0,0,20.95,0,35.45,0,0.81
 48-58,0,0,0,14.92,0,0,25.25,0,5.16,8.61,6.89,0,0,2.3,4.02,0,1.72,0,0,4.59,350.02,0,9.18,36.72,51.64,18.36,0.57,2.87,0,2.87,31.56,0,0,0.57,0,14.92,1.15,21.8,0.57,5.74
 60-70,0,0,0,25.52,0.98,0,25.52,0.98,3.93,4.91,22.58,0.98,0,5.89,8.83,0,0.98,0,0,4.91,487.82,0,14.72,30.43,48.09,6.87,0,5.89,0,1.96,49.08,0,0,0,0,12.76,6.87,32.39,1.96,13.74
 72-82,0,0,0,24.54,0.98,0,37.3,0,5.89,21.6,40.25,0,0,11.78,12.76,1.96,5.89,0,1.96,3.93,802.02,0.98,28.47,51.05,75.59,11.78,0,16.69,0,7.85,38.28,0,0,0,0,10.8,13.74,68.72,13.74,14.72
 84-94,0,0,0,41.42,0,0,53.1,1.06,18.05,16.99,29.74,3.19,0,13.81,18.05,0,6.37,0,2.12,14.87,502.34,1.06,25.49,29.74,44.61,12.74,1.06,16.99,0,4.25,135.94,0,0,2.12,0,7.43,7.43,64.78,5.31,26.55
 96-106,0,0,0,49.18,2.19,1.09,45.9,0,21.86,9.84,42.62,2.19,0,18.58,13.11,1.09,9.84,1.09,5.46,14.21,489.6,3.28,21.86,29.51,79.78,14.21,0,31.69,0,8.74,115.84,0,0,1.09,0,9.84,9.84,78.68,21.86,29.51
108-118,0,0,1.53,68.17,0.77,0.77,38.3,0,36.77,18.38,30.64,3.06,0,10.72,16.09,1.53,13.79,1.53,1.53,22.98,412.85,0.77,18.38,27.57,67.4,7.66,3.06,25.28,0,9.96,114.89,0,0,0.77,0,8.43,15.32,59.75,4.6,35.23
120,0,0,0,76.43,0,0,21.56,1.96,13.72,5.88,27.44,1.96,0,11.76,25.48,0,3.92,3.92,1.96,5.88,250.85,1.96,19.6,17.64,33.32,21.56,3.92,13.72,0,7.84,72.51,0,0,0,0,3.92,7.84,60.75,5.88,17.64
