stage,axial,blastomeres,epidermis,eye,glial,hatching.gland,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,39.53,500.76,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,318.74,0,0,0,6.13,12.26,0,6.13,18.39,0,0
  7-9,2.63,5.26,0,2.63,0,15.77,78.86,2.63,44.69,0,0,0
 10-12,0,0,0,0,0,0,12.59,3.15,9.44,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0.57,0.57,0,0,0,0
 60-70,0,0,0.98,1.96,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,0,0.98,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0,0,0.77,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0
