stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,275.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,9.44,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,8,2,0,0,0,1,0,0,1,1,0,0,1,0,0,24,0,2,0,0,2,2,2,1,0,0,10,0,1,1,1,4,0,0,1,0,0
 24-34,0,0,2.46,2.46,22.98,0.82,0,4.93,0,2.46,0,0.82,0,2.46,0.82,1.64,5.75,0.82,2.46,10.67,0,5.75,0.82,0,8.21,17.24,8.21,9.03,2.46,0,67.31,0,0,3.28,2.46,4.1,0,0,7.39,0,0.82
 36-46,0,0,0,0,2.42,0.81,0,4.83,0.81,0.81,1.61,1.61,0,0,0.81,2.42,4.03,0,3.22,0,3.22,19.34,1.61,0,4.03,33.03,4.03,7.25,1.61,0,45.12,0,0,0.81,0.81,5.64,0,0,5.64,0,3.22
 48-58,0,0,0.57,0,5.16,0,0,6.89,0.57,1.15,1.72,6.89,0.57,0,1.15,4.59,1.72,0,1.72,1.15,0.57,22.38,2.87,0,4.59,27.54,1.15,4.59,2.87,0,34.43,0,0,0,0,4.59,0,0,5.16,0,4.59
 60-70,0,0,0,0,7.85,0,0,14.72,0.98,0.98,1.96,6.87,9.82,0,0,4.91,1.96,1.96,4.91,1.96,1.96,43.19,2.94,0.98,2.94,32.39,2.94,3.93,2.94,0,35.33,0,0,0,0,1.96,0.98,0,3.93,0,3.93
 72-82,0,0,4.91,0,27.49,4.91,0,29.45,0.98,2.94,4.91,23.56,32.39,0,1.96,10.8,1.96,2.94,4.91,0.98,1.96,85.4,4.91,2.94,6.87,50.06,1.96,8.83,5.89,0,40.25,0,0,3.93,0,2.94,10.8,1.96,16.69,0,1.96
 84-94,0,0,2.12,0,44.61,3.19,0,27.61,1.06,3.19,1.06,10.62,59.47,0,1.06,12.74,5.31,3.19,5.31,3.19,2.12,53.1,5.31,0,4.25,21.24,3.19,3.19,8.5,0,72.22,0,0,3.19,0,1.06,42.48,3.19,11.68,0,2.12
 96-106,0,0,1.09,0,56.83,4.37,2.19,16.39,1.09,1.09,1.09,8.74,132.23,0,0,17.49,8.74,2.19,5.46,3.28,2.19,29.51,1.09,1.09,2.19,51.36,0,4.37,6.56,0,54.64,0,0,4.37,0,4.37,68.85,3.28,15.3,1.09,4.37
108-118,0,0,1.53,1.53,47.49,5.36,3.83,18.38,0,3.83,0.77,16.09,137.87,0,0,10.72,8.43,2.3,3.83,6.89,0.77,29.87,4.6,1.53,2.3,56.68,0.77,4.6,3.83,0,53.62,0,0,3.06,0,1.53,77.36,0.77,7.66,0,3.06
120,0,0,0,0,33.32,0,0,23.52,0,0,1.96,11.76,97.99,0,0,15.68,3.92,0,3.92,9.8,0,21.56,3.92,3.92,3.92,62.71,1.96,1.96,5.88,0,52.91,0,0,1.96,0,1.96,35.28,0,7.84,0,0
