stage,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,hatching.gland,immune,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,4.93,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0.57,1.72,0,0,1.15,0,0,0,0,1.72,0,0,0,12.62,0,0,0.57,0,0.57,0,1.72,0,0,0,0,0.57
 60-70,0.98,0,6.87,0.98,0,0,0,0,0,0,2.94,0,0.98,0,17.67,0,0,0,0,0,0.98,0.98,0,0,0,0,0.98
 72-82,2.94,1.96,6.87,0,0,2.94,0,0,0,0,5.89,0,0,0.98,30.43,0.98,0,0,1.96,0,0,0.98,0,0,0,0,0.98
 84-94,1.06,0,7.43,1.06,1.06,0,1.06,0,0,0,5.31,0,0,0,14.87,0,0,0,1.06,0,0,1.06,0,0,1.06,0,0
 96-106,3.28,0,5.46,0,0,0,0,1.09,0,0,1.09,0,0,0,9.84,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0.77,0.77,3.83,0,0.77,1.53,0,1.53,0.77,1.53,2.3,0.77,0,0,19.15,0.77,0,0,1.53,0,0,0.77,0.77,0.77,0,0,0
120,0,0,5.88,0,0,1.96,0,0,0,3.92,7.84,0,0,0,25.48,0,0,0,3.92,0,0,0,0,0,1.96,1.96,0
