stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,2.63,0,7.89,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,60.46,5.26,0,0,28.92,0,10.51,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.88,6.29,0,0,18.88,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,46,6,4,0,0,0,1,2,0,0,0,2,0,0,0,0,21,0,0,11,41,0,0,4,0,0,6,1,2,3,0,1,10,0,0,1,0,0
 24-34,0,0,0,2.46,32.01,0.82,7.39,0,3.28,0,2.46,0.82,0,1.64,4.93,3.28,0,4.1,0.82,0,29.55,1.64,0,8.21,85.37,0,1.64,4.93,0,0,36.12,0,1.64,0,0,1.64,12.31,0,0,8.21,0,0
 36-46,0,0,0,0,12.89,0.81,11.28,0,1.61,0,7.25,1.61,0,0.81,7.25,0.81,0.81,1.61,0,0,41.89,0.81,1.61,12.89,60.43,2.42,0,1.61,0,0,25.78,0.81,0,0.81,0,0,12.89,0,0,4.83,0,0.81
 48-58,0,0,0,0.57,19.51,0,15.49,1.72,4.02,1.15,13.2,0,2.3,0.57,3.44,3.44,0,1.15,1.15,0,46.48,2.3,1.72,13.77,28.69,1.72,0.57,1.15,0,0.57,18.36,0,0,0.57,0,0,9.18,0,0.57,5.16,0,0
 60-70,0,0,0,0,21.59,0.98,15.7,1.96,5.89,0.98,13.74,3.93,0,2.94,7.85,1.96,0,0.98,0,0,65.76,2.94,5.89,5.89,20.61,0.98,0.98,0,0,0.98,32.39,0,0,0.98,0,0,1.96,0,0.98,3.93,0,4.91
 72-82,0,0,0.98,0.98,25.52,16.69,12.76,0.98,4.91,0.98,16.69,5.89,0,4.91,18.65,6.87,0.98,3.93,0,0.98,91.29,3.93,6.87,15.71,31.41,0,1.96,3.93,0,4.91,40.25,0,0,1.96,0,0,0.98,0,3.93,14.72,1.96,0.98
 84-94,0,0,2.12,0,38.23,8.5,6.37,1.06,11.68,0,6.37,4.25,0,0,25.49,4.25,3.19,1.06,2.12,2.12,81.78,0,5.31,8.5,10.62,2.12,1.06,0,0,1.06,91.34,0,0,3.19,0,0,2.12,3.19,0,5.31,2.12,1.06
 96-106,0,0,1.09,0,54.64,14.21,10.93,1.09,7.65,2.19,7.65,17.49,0,0,52.46,4.37,1.09,6.56,1.09,0,46.99,4.37,3.28,3.28,16.39,1.09,6.56,2.19,0,2.19,86.33,0,0,0,1.09,0,0,3.28,2.19,15.3,3.28,2.19
108-118,0,0,0,0.77,50.55,8.43,7.66,0,16.09,1.53,9.96,12.26,0,0,36.77,3.06,1.53,5.36,0.77,1.53,52.85,0,6.13,4.6,15.32,5.36,0.77,2.3,0,0,50.55,0,0,1.53,3.06,0,0,4.6,0,8.43,0.77,3.06
120,0,0,0,0,47.03,3.92,1.96,1.96,5.88,0,5.88,17.64,0,0,45.08,1.96,0,0,0,0,47.03,3.92,1.96,3.92,1.96,0,1.96,3.92,0,3.92,60.75,0,0,5.88,1.96,0,0,0,3.92,9.8,0,1.96
