stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,49.95,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,9.44,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,4,2,0,3,0,0,0,1,2,0,1,0,0,0,0,3,0,0,1,21,1,0,0,1,0,0,1,0,1,4,8,0,0,0,0,1
 24-34,0,0,3.28,0,0,4.93,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,1.64,20.52,0,0,0,0,0,1.64,0,0.82,0,0.82,10.67,0,0,1.64,0,0
 36-46,0,0,0,0.81,0,7.25,0,0,0.81,0.81,0,0,1.61,0,0,0,0,3.22,0,0,0,34.64,0.81,1.61,0,0,0,1.61,0,0,0,0,4.83,0,0,0,0,0
 48-58,0,0,1.15,1.15,0,8.61,0,0,0,4.59,0,0,0,1.15,0.57,0.57,0.57,4.59,0,0,1.72,19.51,0,0,0,0,0,0,0,0,0,0,5.16,0,0,0.57,0,0.57
 60-70,0,0,0.98,0,0,21.59,0,0.98,0.98,4.91,0,0,0,0,0,0,0,4.91,0,0.98,0.98,7.85,0.98,0.98,0,0,0,0,0,0,0,0,0.98,0,0,0,0,1.96
 72-82,0,0,0.98,5.89,0,6.87,0,0,0,12.76,1.96,0,0,1.96,0,0,0,24.54,0.98,0,3.93,5.89,0.98,0,0,0,0.98,1.96,0,0,0,0,2.94,0.98,0.98,3.93,0.98,0.98
 84-94,0,0,0,3.19,0,6.37,0,0,0,3.19,0,0,2.12,3.19,0,0,0,5.31,0,3.19,0,3.19,0,2.12,1.06,0,0,1.06,0,0,0,0,0,0,1.06,1.06,0,0
 96-106,0,0,2.19,7.65,0,5.46,0,2.19,0,4.37,0,0,0,4.37,0,2.19,2.19,12.02,0,1.09,2.19,5.46,1.09,1.09,2.19,0,0,9.84,0,0,0,0,0,0,0,0,2.19,0
108-118,0,0,3.83,9.96,0.77,6.13,0.77,2.3,0,7.66,1.53,0,0,3.06,0,0.77,0.77,15.32,0,0,2.3,2.3,0,0,0,0,0.77,9.96,0,0.77,0,0,1.53,0,0.77,0.77,0.77,1.53
120,0,0,3.92,11.76,0,1.96,0,0,0,3.92,1.96,0,1.96,0,0,0,0,17.64,0,0,1.96,7.84,1.96,3.92,0,0,0,11.76,0,0,0,0,0,1.96,0,0,0,0
