stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,171.31,1528.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0
  5-6,73.56,1023.65,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,12.26,0,18.39,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,1,4,1,1,4,0,0,0,0
 24-34,0,0,0.82,2.46,8.21,8.21,0,0.82,0,0,1.64,0,0.82,0,1.64,2.46,1.64,0.82,0,0.82,0,9.03,0,0,8.21,14.78,0,0.82,0,0,0,39.4,0,0,0,3.28,3.28,0,6.57,0,0
 36-46,0,0,0,0,0,3.22,0,0,0,0,0.81,0,0.81,0,0.81,0.81,0,0,0,0,0,2.42,0.81,0,0.81,1.61,0,0,0,0,0,12.09,0,0,0.81,0,0.81,0,2.42,0,0
 48-58,0,0,0,0,0.57,13.2,0,1.15,0,0,0.57,0.57,0,4.59,0.57,1.15,0.57,0,0,0,1.15,6.89,0,0,0.57,1.72,0,0,0,0,0,21.8,0,0,0,0,1.15,0,2.87,0,0.57
 60-70,0,0,0,0,0.98,2.94,0,0.98,0.98,0.98,0,0,0,0,0,0,0,0.98,0,0,0,2.94,0,0,0,0,0,0,0,0,0,18.65,0,0,0,0,0,0,1.96,0,0
 72-82,0,0,0.98,0,0,4.91,0,2.94,0,0,0.98,2.94,0.98,0,0.98,5.89,0,0,0,0.98,0,23.56,2.94,1.96,1.96,5.89,0,0,0.98,0,0,25.52,0,0,0,0,0,0,3.93,0,0
 84-94,0,0,0,0,1.06,9.56,0,8.5,0,1.06,1.06,5.31,1.06,0,1.06,13.81,2.12,2.12,0,1.06,0,11.68,0,0,1.06,3.19,0,1.06,0,0,0,41.42,0,0,2.12,0,0,0,4.25,0,1.06
 96-106,0,0,3.28,0,21.86,48.09,0,24.04,0,6.56,4.37,7.65,8.74,0,3.28,27.32,6.56,2.19,2.19,0,2.19,44.81,3.28,1.09,4.37,14.21,1.09,1.09,3.28,0,1.09,128.96,0,0,2.19,0,1.09,1.09,17.49,0,3.28
108-118,0,0,0,0,6.13,30.64,0.77,14.55,0,3.83,3.83,6.89,2.3,0,0.77,15.32,0.77,4.6,0,3.06,0,54.38,2.3,1.53,4.6,12.26,0.77,0.77,1.53,0,0,65.11,0,0,2.3,0,0,0,6.89,1.53,5.36
120,0,0,1.96,1.96,9.8,15.68,0,21.56,1.96,5.88,3.92,3.92,9.8,0,0,29.4,3.92,3.92,1.96,1.96,0,25.48,0,0,1.96,25.48,0,0,1.96,0,3.92,115.63,0,0,1.96,0,1.96,1.96,21.56,0,5.88
