stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,heart,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0,0,21.03,2.63,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,4,3,0,0,0,1,0,1,0,2,0,0,0,12,0,0,0,0,0,1,4,6,5,1,0
 24-34,0,0,0,0,0,3.28,0,0,0,0,0,0,0,2.46,0,0,0.82,14.78,0.82,0,0,0,3.28,0,0,0,3.28,0.82,0
 36-46,0,0,0,0.81,0,2.42,0,0,0,0,0,0,0,0.81,0,0,0.81,9.67,0,0,0,0,0.81,0,0,0,4.03,0.81,0
 48-58,0,0,0,0,0,8.61,0,0.57,0,0,0.57,0,0,3.44,0,0,0.57,8.03,0.57,0.57,0,0,0,0,0,0,1.15,0.57,0
 60-70,0,0,0,0,0,9.82,0,1.96,0,0,0,0,0,1.96,0,0,0,3.93,0,0,0.98,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,1.96,0,0,0,0,0.98,0,0,6.87,0,0,0.98,1.96,0,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,3.19,0,0,0,0,1.06,0,0,1.06,0,0,0,3.19,0,0,0,0,1.06,0,0,0,1.06,0,0
 96-106,0,0,0,1.09,1.09,2.19,2.19,0,0,1.09,4.37,0,0,1.09,1.09,1.09,1.09,4.37,1.09,0,0,0,0,0,0,0,0,1.09,1.09
108-118,0,0,0,1.53,0,3.06,0,2.3,0,0,2.3,0.77,0,1.53,0,0,0.77,5.36,0,0,0,0,1.53,0,0,0,0,0.77,0.77
120,0,0,0,0,1.96,1.96,0,0,0,0,11.76,0,3.92,0,0,0,0,5.88,0,0,0,0,1.96,0,0,0,0,1.96,0
