stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.82,0.82,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0.82,3.28,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0.57,0,0,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,2.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,5.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0.98,0.98,0,55.95,9.82,0,0.98,0,6.87,1.96,0,3.93,1.96,0,0,2.94,0,8.83,0,0,0,42.21,0,0,0.98,0,0,4.91,0,0,1.96,1.96,0,0,0.98,0
 84-94,0,0,1.06,1.06,106.2,12.74,0,0,0,3.19,0,0,1.06,1.06,0,0,2.12,1.06,4.25,0,0,0,24.43,0,0,1.06,0,0,3.19,0,0,4.25,0,1.06,1.06,0,0
 96-106,0,5.46,41.53,36.06,295.07,113.66,4.37,5.46,3.28,52.46,13.11,3.28,14.21,4.37,2.19,7.65,28.41,2.19,134.42,2.19,3.28,12.02,291.79,2.19,8.74,5.46,0,3.28,71.04,0,1.09,7.65,4.37,5.46,21.86,9.84,6.56
108-118,0,5.36,50.55,22.21,636.52,238.21,3.06,16.85,12.26,69.7,13.79,3.83,17.62,8.43,10.72,5.36,13.79,5.36,142.47,3.06,5.36,26.81,515.49,8.43,2.3,13.02,0,6.13,105.7,2.3,0.77,7.66,1.53,3.83,19.92,6.13,18.38
120,0,3.92,39.2,21.56,295.93,137.18,3.92,5.88,3.92,45.08,17.64,1.96,31.36,3.92,3.92,3.92,9.8,1.96,133.27,1.96,7.84,19.6,403.72,3.92,5.88,3.92,0,1.96,48.99,1.96,0,9.8,0,0,11.76,0,7.84
