stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vasculature
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,0,0,0,0,1.64,0,0,5.75,0,0,0,0,0,0,1.64,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,1.61,0,0,8.06,0,0,0,0,0,0,5.64,0
 48-58,0,0,0,0,4.02,0,0.57,0.57,0,0,0,2.87,0,0,9.75,0,0,0,0,0,0,3.44,0
 60-70,0,0,0,0,59.87,0,0.98,1.96,0,0,0,2.94,1.96,0,25.52,0,0,0,0.98,0,0.98,2.94,0
 72-82,0,0,0.98,2.94,221.86,0.98,0,1.96,0.98,0,0,2.94,3.93,0,34.36,0,0,0,0,0.98,0,3.93,0
 84-94,0,1.06,1.06,0,212.41,0,0,0,0,1.06,0,6.37,0,0,12.74,1.06,2.12,0,0,0,0,3.19,0
 96-106,0,0,0,0,163.93,0,0,4.37,0,0,1.09,2.19,0,0,16.39,0,2.19,0,1.09,2.19,0,2.19,0
108-118,0,0,0,0,104.94,0.77,0,2.3,0,0,0,3.83,0,0.77,11.49,0,0.77,0,0.77,0.77,0,0.77,0.77
120,0,0,1.96,0,111.71,0,0,1.96,0,0,0,1.96,0,0,21.56,0,1.96,0,0,0,0,0,0
