stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,70,2,0,0,0,0,0,0,0,1,102,0,0,0,0,0
 24-34,0,0.82,0.82,4.1,2.46,0,12.31,0,0,0,0,0,0,0.82,0.82,0.82,0,0,0,0,4.93,0,0,3.28,814.29,0.82,0.82,1.64,0,0,0.82,0,0,0.82,297.15,0,0,4.1,0,0
 36-46,0,0,0,3.22,0.81,0,85.4,0.81,0.81,0.81,5.64,0.81,0,0.81,0,0,0,0,0,0,12.09,0,1.61,3.22,2012.56,6.45,1.61,0,0,0,1.61,1.61,0,0,398,0,0,4.03,0,0.81
 48-58,0,0,0,8.61,0.57,0,481.42,1.15,2.3,1.15,25.25,0,0,0,0,0.57,0,0.57,1.15,1.72,29.26,0,1.15,6.89,2773.77,1.72,1.72,0,0,0,5.16,0,0,0,442.4,0,0,4.59,0,1.72
 60-70,0,0,0,7.85,0,0,1221.01,0.98,4.91,0.98,12.76,0,0.98,1.96,2.94,0,1.96,0,0.98,4.91,47.11,0.98,0.98,1.96,3429.44,0.98,0.98,0.98,0,0,6.87,1.96,0,0,413.22,0,0.98,5.89,1.96,4.91
 72-82,0,0,0,34.36,4.91,0,1323.28,0,0,5.89,63.81,5.89,0,0,3.93,0.98,0,0.98,0,1.96,75.59,0.98,0,3.93,3394.59,0,1.96,2.94,0,1.96,5.89,0,0,0,212.04,1.96,2.94,3.93,0,3.93
 84-94,0,0,0,71.16,2.12,0,911.23,1.06,1.06,3.19,82.84,4.25,0,0,3.19,1.06,7.43,0,2.12,4.25,61.6,1.06,5.31,8.5,1978.58,1.06,2.12,6.37,0,0,11.68,1.06,0,0,160.37,2.12,4.25,1.06,2.12,2.12
 96-106,0,0,1.09,44.81,10.93,0,760.62,5.46,3.28,4.37,65.57,2.19,0,2.19,7.65,1.09,1.09,1.09,2.19,0,36.06,0,0,2.19,1610.86,0,4.37,5.46,0,0,12.02,0,2.19,0,55.74,4.37,5.46,3.28,1.09,5.46
108-118,0,1.53,0,26.04,7.66,0,557.62,0.77,0.77,2.3,50.55,3.06,0,0.77,1.53,1.53,0,0,0.77,0,22.98,0,0,3.06,1813.8,0.77,3.06,4.6,0,0,5.36,2.3,0,0,39.06,6.89,0,4.6,0.77,2.3
120,0,0,1.96,39.2,3.92,3.92,507.58,1.96,3.92,1.96,43.12,3.92,0,1.96,1.96,0,1.96,1.96,5.88,0,47.03,0,0,5.88,2247.87,0,5.88,3.92,0,0,3.92,0,0,0,27.44,9.8,0,3.92,0,1.96
