stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,6,0,1,28,0,1,0,0,0,1,2,12,0,0,0,0,0
 24-34,0,0,0.82,0,2.46,0,0,4.1,0,0,0,0,1.64,0,0,0,0,0,0,0,129.7,0,8.21,0,0,0,0,0,41.04,0,0,0,0,0
 36-46,0,0,0.81,0,0.81,0,0,13.7,0,0.81,0,0,0.81,0,0,0,0,0.81,0,0.81,346.44,0.81,8.86,1.61,0,0,0,0,58.01,0,0,0,0,0
 48-58,0,0,0,0,4.02,0,0,70,0,0,4.59,0,0,1.15,0,0,0.57,2.87,0,1.15,449.86,0,4.02,0.57,0,1.15,0,0,79.19,0,0,0,0,1.15
 60-70,0,0,0,0,4.91,0,0,141.34,0,0,5.89,0,0,0,0,0,0,6.87,0,1.96,678.23,0,2.94,1.96,0,0.98,0,0,141.34,0,0,0.98,0,0
 72-82,0,0,2.94,0,7.85,0.98,0,247.38,0,1.96,11.78,0.98,0,1.96,1.96,0,0,16.69,0,3.93,786.31,0,11.78,2.94,0,2.94,0,0,98.17,1.96,1.96,1.96,0,0
 84-94,0,0,2.12,0,3.19,0,0,174.17,1.06,0,20.18,2.12,0,1.06,1.06,0,1.06,13.81,2.12,2.12,449.24,0,8.5,6.37,0,1.06,0,0,54.16,1.06,1.06,0,1.06,0
 96-106,0,0,6.56,0,10.93,4.37,0,179.23,0,0,28.41,4.37,0,0,2.19,2.19,1.09,9.84,0,1.09,424.02,1.09,10.93,9.84,0,0,0,0,18.58,0,1.09,0,1.09,0
108-118,0,0,3.06,0,12.26,1.53,0.77,150.89,0,0,12.26,2.3,0.77,0.77,0,0,0.77,13.79,0,0,487.15,0,7.66,6.89,0,3.06,0,0,21.45,3.83,1.53,1.53,0.77,0
120,0,0,0,0,3.92,1.96,0,152.86,0,1.96,11.76,1.96,0,0,0,1.96,0,13.72,0,3.92,658.49,0,7.84,5.88,0,3.92,0,0,41.16,0,0,0,1.96,0
