stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,26.29,0,0,0,23.66,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,66.09,3.15,0,0,18.88,0,3.15,0,0,0,0
 14-21,0,0,0,3,1,3,0,10,0,0,0,0,0,3,0,0,0,30,0,0,2,2,0,1,1,25,0,1
 24-34,0,0,0.82,2.46,0,3.28,0,5.75,0,0,0,2.46,0,0.82,0,0,0.82,46.79,2.46,0.82,0.82,0,0,4.1,0.82,24.63,0,0
 36-46,0,0,0,0,0,2.42,0,3.22,0,0,0,0.81,0,3.22,0,0,0,33.84,0,2.42,0,0,0.81,1.61,0,18.53,0,0
 48-58,0,0,0,0.57,0,3.44,0,5.74,0,0.57,0,0.57,0,1.15,0,0,1.15,14.92,0,0.57,0,0,0.57,1.15,0,6.31,0,0
 60-70,0,0,0,0,0,5.89,0,10.8,0,0,0,0,0,1.96,0.98,0.98,0.98,10.8,0,3.93,0,0,0,0,0,8.83,0.98,0.98
 72-82,0,0,0,0,0,4.91,0,6.87,0,0,0,0,0.98,8.83,0,0,0.98,9.82,0,2.94,0,0,0,0.98,0,2.94,0,0
 84-94,0,0,0,0,0,12.74,0,1.06,0,0,0,0,0,1.06,0,0,0,8.5,0,2.12,2.12,0,0,1.06,0,1.06,0,1.06
 96-106,0,0,0,2.19,1.09,9.84,0,6.56,0,0,0,0,0,2.19,0,0,0,5.46,0,1.09,0,0,0,1.09,0,2.19,0,1.09
108-118,0,0,0,0.77,1.53,2.3,0.77,1.53,0.77,0,0,0,0,5.36,0.77,0,0.77,8.43,0,0.77,0.77,0,0,0,0,2.3,0.77,0.77
120,0,0,0,0,3.92,1.96,0,1.96,0,0,1.96,0,0,1.96,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0
