stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,540.3,6720.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316.27,0,0,0,0,0,0,0,0,0
  5-6,214.54,3493.89,0,6.13,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,91.94,0,0,0,30.65,0,49.04,0,0,0,0,0,0,0,0,0
  7-9,10.51,39.43,0,70.98,0,0,86.75,0,0,0,28.92,0,0,0,0,0,0,0,0,0,956.85,15.77,0,0,373.28,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,28.32,0,0,40.91,0,0,0,15.73,0,0,0,0,0,0,0,0,3.15,295.82,6.29,0,0,119.58,0,0,3.15,0,12.59,0,0,0,0,0,0
 14-21,0,0,1,10,73,0,7,0,1,3,0,0,1,0,0,0,19,0,0,11,87,0,2,2,18,0,1,1,21,1,12,28,0,0,0,0
 24-34,0,0,0.82,5.75,16.42,0,9.03,0,0,1.64,0,0.82,0.82,0,0,0,11.49,0.82,0,2.46,41.04,0,9.03,3.28,0,0,4.1,0,0,0,0,4.93,0,0,0.82,0.82
 36-46,0,0,0,0,3.22,0,4.83,0,0,0,0.81,0.81,0,0,0,0,2.42,0,0,0.81,15.31,0,4.03,0.81,0,0,1.61,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,2.87,0,3.44,0,0.57,0,0.57,0,0,0,0.57,0.57,0,0.57,0,0,8.61,0,2.3,0.57,0,0,0.57,0,0,0,0,1.15,0,0,0,0
 60-70,0,0,0,0,0,0,1.96,0,0.98,0.98,1.96,0.98,0,0,0,0,1.96,0,0,0.98,5.89,0,3.93,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,1.96,0,0.98,0,0.98,0.98,0,0,0,1.96,0,0,0.98,0,3.93,0.98,0.98,0,10.8,0,0.98,0,0,0,0,0,0,0,0,1.96,0,0,0,0
 84-94,0,0,0,0,0,0,2.12,0,0,0,2.12,1.06,0,0,0,0,6.37,1.06,0,0,8.5,0,1.06,0,0,0,1.06,0,0,0,0,0,0,0,2.12,0
 96-106,0,0,4.37,0,2.19,0,1.09,1.09,1.09,0,0,1.09,0,0,0,0,5.46,0,0,0,7.65,0,2.19,1.09,0,0,0,0,0,0,0,0,0,1.09,1.09,0
108-118,0,0,1.53,0,1.53,0,2.3,2.3,0.77,1.53,0,0.77,0.77,0,1.53,0,4.6,0,0,0.77,11.49,0,0.77,0,0,0.77,0,0,0,0,0,0,0.77,0,0.77,0
120,0,0,0,0,3.92,1.96,1.96,0,0,1.96,0,0,0,1.96,1.96,0,5.88,0,0,0,3.92,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
