stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.23,3.15,0,0,377.64,0,0,3.15,22.03,0,3.15,0,0,0,0,0,0
 14-21,0,2,1,55,1413,169,53,0,22,0,43,35,2,3,0,4,0,4,2,6,364,9,0,462,887,46,26,51,237,0,242,1445,182,186,2189,1554,0,0,53,0,0
 24-34,0.82,0,2.46,37.76,720.71,23.8,41.86,10.67,96.86,21.34,55,15.6,0.82,17.24,0,15.6,0.82,27.09,9.03,3.28,815.93,8.21,0.82,458.04,485.13,10.67,6.57,27.09,0.82,0.82,398.94,7.39,116.56,60.74,568.85,418.64,0,0,284.02,0,3.28
 36-46,0.81,0,0.81,3.22,179.66,1.61,24.98,16.11,56.4,56.4,19.34,12.09,0,20.95,0,7.25,0,25.78,7.25,1.61,660.65,4.03,9.67,279.57,243.31,1.61,4.83,6.45,0,1.61,190.94,0,70.09,22.56,13.7,123.27,0,0.81,160.33,0,1.61
 48-58,0,0,0,0.57,42.46,0,37.87,2.87,37.3,48.77,20.66,1.72,0,9.18,0,2.87,0,10.9,1.15,0.57,480.85,1.72,5.16,143.45,162.39,0.57,0.57,2.87,0.57,1.15,60.82,0.57,40.74,3.44,0,44.18,0,0,118.78,0,1.15
 60-70,0,0,0,0,24.54,3.93,32.39,2.94,13.74,42.21,6.87,2.94,0,4.91,0.98,1.96,0.98,2.94,1.96,0.98,285.62,0.98,4.91,55.95,106,0,0.98,0.98,0,1.96,27.48,0.98,40.24,9.82,0,13.74,0,0.98,57.91,0,0
 72-82,0,0,0.98,0,10.8,0,42.21,0,8.83,48.1,13.74,6.87,0,0.98,3.93,2.94,0,2.94,0,0,236.58,0,5.89,54.97,83.44,0,2.94,0.98,0.98,0,12.76,0,50.06,3.93,0,7.85,0,2.94,64.79,0.98,0
 84-94,0,0,0,0,13.81,1.06,26.55,0,8.5,26.55,10.62,11.68,0,4.25,2.12,7.43,0,2.12,3.19,0,148.69,1.06,1.06,33.99,40.36,0,1.06,1.06,0,1.06,30.8,0,63.72,3.19,0,3.19,1.06,1.06,45.67,0,0
 96-106,0,0,0,1.09,7.65,0,15.3,1.09,6.56,21.86,5.46,6.56,0,0,2.19,7.65,1.09,2.19,1.09,0,71.04,0,2.19,27.32,19.67,0,1.09,0,0,0,17.49,0,96.17,3.28,0,0,0,3.28,54.64,0,0
108-118,0,0,0,0,9.19,2.3,18.38,3.83,7.66,20.68,8.43,55.15,0,0,1.53,5.36,0,0,1.53,1.53,68.17,1.53,0,19.92,35.23,0,0.77,2.3,0,0,12.26,0,90.38,2.3,0,1.53,0,0,24.51,0.77,0
120,0,0,0,3.92,13.72,1.96,15.68,0,9.8,25.48,7.84,103.87,0,0,0,3.92,0,0,1.96,0,64.67,0,0,23.52,35.28,0,1.96,0,0,0,5.88,1.96,70.55,1.96,0,0,0,0,33.32,0,0
