stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,42,25,0,0,4,0,0,11,0,0,2,28,0,0,0,0,0
 24-34,0,0,0.82,1.64,0,0,4.93,0,0.82,0,2.46,0,0.82,0,0,0,0,0,4.93,0,0,1.64,293.05,2.46,3.28,0,0,0,1.64,0,0,0,0,108.35,0,0,2.46,0,0
 36-46,0,0,0,0,0,0,14.5,0,0.81,0,2.42,0,0,0,0,0,0,0,6.45,0,0,1.61,918.46,0,7.25,0,0,0,0.81,0.81,0,0,0,176.44,0,0,0.81,0,0.81
 48-58,0,0,0.57,5.74,0,0,126.24,0.57,1.72,1.72,24.67,0,0.57,0,0,0,0,0.57,17.21,0,1.72,1.72,1532.63,0,2.87,0,0,0,0,0,0,0,0,235.26,0,0,1.15,0,1.15
 60-70,0.98,0,0,1.96,2.94,0,424.02,0,1.96,0.98,58.89,0,0.98,2.94,0,0.98,0.98,0,56.93,0.98,0.98,5.89,2660.91,0,2.94,0,0,0.98,1.96,0,0.98,0.98,0,251.27,0,0.98,3.93,0,0.98
 72-82,0,0,0.98,18.65,4.91,0,884.48,0,1.96,3.93,116.82,0,1.96,0.98,0,0,0.98,0,72.64,0,0.98,7.85,3059.84,0,3.93,1.96,0,0,2.94,0,0,0,0,193.39,0,1.96,2.94,0.98,3.93
 84-94,0,0,3.19,24.43,4.25,1.06,519.34,1.06,0,2.12,70.09,0,0,0,2.12,1.06,0,0,40.36,0,1.06,5.31,1417.82,1.06,2.12,2.12,0,0,5.31,0,0,0,0,105.14,0,2.12,1.06,1.06,1.06
 96-106,0,0,3.28,18.58,10.93,1.09,563.91,0,3.28,4.37,79.78,4.37,0,2.19,1.09,0,2.19,0,42.62,1.09,2.19,2.19,1310.32,0,4.37,1.09,0,0,6.56,0,1.09,0,0,46.99,1.09,0,4.37,2.19,2.19
108-118,0,0,1.53,10.72,6.13,0.77,408.26,0.77,1.53,0,77.36,1.53,0.77,2.3,1.53,0,0,0,35.23,0.77,0,0.77,1521.97,0.77,3.06,3.83,0,1.53,3.83,0,0,0,0,46.72,0,0,5.36,0,0
120,0,0,3.92,27.44,1.96,0,327.28,0,0,0,56.83,0,0,1.96,0,0,0,0,37.24,0,1.96,1.96,1442.4,0,1.96,1.96,0,1.96,5.88,0,0,0,0,48.99,1.96,0,0,0,0
