stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,22.03,0,0,0,0,3.15,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,3,17,0,0,1,0,0,0,1,1,0,320,342,6,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,2.46,15.6,0.82,0.82,2.46,0,0,0,0,0,0,0,0,0.82,3.28,0,0,18.88,37.76,0.82,0.82,0,0,0,1.64,0,0,0,135.44,111.64,4.93,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,3.22,22.56,1.61,3.22,0.81,0,0,0,0,0.81,0.81,0,0,0,2.42,0,0,8.06,30.62,0.81,1.61,0,0,0,0,0,0,0,79.76,5.64,4.83,0,0.81,0.81,0,0
 48-58,0,0,0,1.15,0,0,7.46,16.07,0,17.79,1.72,0,0,0,0,0,0.57,0,0,0.57,8.03,0,0,4.02,24.67,0,0,0,0,0,1.72,0,0,0,50.49,0,2.3,0,0,0,0,1.15
 60-70,0,0,0,0,0,0,10.8,16.69,0.98,19.63,2.94,0,0,0,0,0,0,0,0,0,8.83,0,0.98,7.85,28.46,0,0,0,0,0,0.98,0,0,0,31.41,0,0,0,1.96,0,0.98,0
 72-82,0,0,0,1.96,0.98,0,14.72,18.65,0,30.43,12.76,0.98,0,0,0,0,0.98,1.96,2.94,0,20.61,0.98,0,1.96,15.71,0,0,0,0.98,0,0,0,0,0,16.69,0,0.98,0,0,0.98,2.94,0
 84-94,0,0,0,3.19,3.19,0,11.68,36.11,1.06,33.99,9.56,1.06,0,0,2.12,1.06,3.19,0,1.06,1.06,13.81,0,1.06,7.43,24.43,0,0,1.06,0,0,0,0,0,0,31.86,0,1.06,0,0,0,2.12,1.06
 96-106,0,0,2.19,1.09,1.09,1.09,16.39,38.25,0,20.76,5.46,1.09,0,0,0,0,1.09,0,8.74,1.09,32.79,0,0,3.28,20.76,0,0,0,1.09,0,6.56,0,0,0,29.51,0,0,0,3.28,0,3.28,0
108-118,0,0,0.77,2.3,0,0,13.79,42.89,1.53,19.92,3.83,1.53,0,0,0,0.77,1.53,0,5.36,0.77,22.21,0,0,6.89,19.92,0,0,0.77,0,0,0,0,0,0,37.53,0,0.77,0,1.53,0,8.43,0
120,0,0,0,1.96,0,0,15.68,48.99,0,15.68,9.8,1.96,0,5.88,0,0,0,0,5.88,0,43.12,0,0,7.84,15.68,0,0,0,0,1.96,1.96,0,0,0,13.72,0,0,1.96,0,1.96,3.92,0
