stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.89,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,3.15,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.5,6.29,0,0,15.73,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,2,3,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,11,0,0,6,170,2,0,0,1,0,0,3,0,0,2,54,0,0,0,0,0
 24-34,0,0.82,0,0,0.82,0,19.7,0,0,0.82,3.28,0,0,0,0,0.82,0,0,0,0,48.43,0,0,14.78,544.23,0,1.64,0,0,0,0.82,0,0.82,0,1.64,121.49,0,0,0,0,0.82
 36-46,0,0.81,0,1.61,0,0,16.92,0.81,0,2.42,9.67,0,0,0,0,0,0,0,0,0,65.26,0,0.81,16.92,747.66,0,0.81,0.81,0,0,1.61,0,0.81,0,0,159.52,0,0,0,0,0
 48-58,0,0,0,3.44,0,0,68.86,0,1.15,5.16,20.08,0,0,0,0,0,0,0,0,0,75.17,0.57,2.3,12.05,687.99,0,0.57,0,0,0,1.15,0,0,0.57,0,105.58,0,0,0.57,1.15,0.57
 60-70,0,0,0,0.98,0,0,211.03,0,0,4.91,30.43,0,0,0,0,0,0,0,0,0,105.02,0,1.96,12.76,904.96,0,0.98,0,0,0.98,0,0,0.98,0,0,95.21,0,2.94,0,0,0.98
 72-82,0,0.98,0,8.83,1.96,0,482.98,1.96,0,10.8,49.08,0,0,0,1.96,0,0,0.98,0,0.98,185.53,0,6.87,9.82,886.44,0,0.98,1.96,0,0.98,0,0,0,0,0,53.99,0,5.89,0.98,2.94,1.96
 84-94,0,0,0,5.31,5.31,0,370.65,0,1.06,8.5,36.11,0,0,0,2.12,2.12,1.06,0,0,0,133.82,0,6.37,13.81,463.05,0,1.06,1.06,0,1.06,3.19,0,0,0,0,30.8,0,3.19,2.12,8.5,1.06
 96-106,0,2.19,0,4.37,1.09,0,399.98,0,0,8.74,39.34,1.09,0,1.09,8.74,0,1.09,0,2.19,0,130.05,0,7.65,2.19,371.57,0,1.09,0,0,4.37,8.74,0,0,0,0,19.67,0,3.28,3.28,5.46,2.19
108-118,0,0,0,2.3,1.53,0.77,322.47,0,0.77,7.66,29.87,0.77,0,1.53,4.6,0,0.77,0,0,3.06,115.66,0.77,4.6,6.13,421.28,0.77,1.53,0,0,0.77,3.06,0,1.53,0,0,9.96,1.53,2.3,2.3,3.83,0
120,0,0,0,23.52,0,0,358.64,0,1.96,3.92,23.52,0,0,1.96,0,5.88,0,0,1.96,0,101.91,1.96,3.92,9.8,511.5,0,1.96,7.84,0,1.96,3.92,0,0,0,0,1.96,0,3.92,3.92,3.92,0
