stage,eye,fin.mesenchyme,glial,immune,mesenchyme,muscle,neural,otic,periderm,taste,vasculature
  7-9,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,3.15,0,0,0,0,0,6.29,0,0,0,0
 14-21,0,0,0,0,0,0,2,1,0,0,0
 24-34,0,0,0.82,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0.81,1.61,0,0,0,0
 48-58,0.57,0,1.15,0,0.57,0,1.72,0,0,0,0
 60-70,0.98,0,0,0,1.96,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,1.06,0,0,1.06,0,0,0,0
 96-106,1.09,0,0,0,1.09,0,2.19,0,0,0,1.09
108-118,0,0,0,0.77,1.53,0,4.6,0,0.77,0,0
120,0,1.96,0,0,0,0,0,0,3.92,1.96,0
