stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,1950.33,33037.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528.64,0,0,0,0,0,0,0,0
  5-6,2445.72,33915.27,30.65,0,0,0,0,0,0,79.69,0,0,0,0,0,0,0,0,471.98,79.69,0,0,183.89,901.06,0,0,0,0,0,0,0,0
  7-9,241.84,368.02,770.21,0,2.63,1548.31,0,0,0,754.44,0,0,0,0,0,0,0,0,12470.62,399.56,0,0,2218.63,47.32,78.86,0,0,0,0,0,0,0
 10-12,3.15,141.61,179.38,0,22.03,358.75,0,0,0,254.9,0,0,0,0,0,0,0,0,3442.78,78.67,0,0,736.39,9.44,31.47,0,119.58,0,3.15,9.44,0,0
 14-21,1,0,14,766,27,3,0,61,30,3,1,0,3,0,0,46,0,34,639,40,0,8,65,169,8,47,7,2,14,931,0,0
 24-34,0,0,0,13.13,0.82,2.46,0,34.48,3.28,0,0,0,0,0,0,14.78,0.82,1.64,147.75,0,2.46,0,0,13.95,0,0,0,0,6.57,313.57,0,0.82
 36-46,0,0,0,1.61,0,3.22,0,4.03,0,0,0,0,0,0,0.81,4.03,0,0,20.95,0,0,0,0,3.22,0,0,0,0,0,60.43,0,0
 48-58,0,0,0,0.57,0,1.72,0,0.57,0,0,1.15,0,0,0,0,3.44,0,0,9.18,0,0,0,0,0,0,0,0,0,0,13.77,0,0
 60-70,0,0,0,0,0,3.93,0.98,0,0,0,0,0,0,0,0,5.89,0,0,2.94,0,0,0,0,0,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0.98,0.98,0,0.98,0,0,4.91,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,0,4.25,0,0,0,0,0,0,0,0,0,4.25,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,1.09,4.37,1.09,0,1.09,0,0,1.09,0,0,0,4.37,2.19,0,1.09,6.56,0,1.09,0,0,2.19,0,0,0,0,0,1.09,1.09,0
108-118,0,0,0,0,1.53,0,0,0.77,0,0,0,0.77,0,0,2.3,4.6,0,0,3.06,0,0,0,0,0.77,0,0,0,0,0,0,0,0.77
120,0,0,0,0,11.76,0,0,0,0,0,0,3.92,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
